Time,nBurstsIn10s_20190603_slice2,phaseNumber_20190603_slice2,nBurstsIn10s_20190603_slice3,phaseNumber_20190603_slice3,nBurstsIn10s_20190603_slice6,phaseNumber_20190603_slice6,nBurstsIn10s_20190605_slice3,phaseNumber_20190605_slice3,nBurstsIn10s_20190605_slice4,phaseNumber_20190605_slice4,nBurstsIn10s_20190606_slice5,phaseNumber_20190606_slice5,nBurstsIn10s_20190606_slice7,phaseNumber_20190606_slice7
-20 min,12,1,22,1,8,1,7,1,30,1,22,1,16,1
-19 min,12,1,24,1,8,1,11,1,31,1,21,1,14,1
-18 min,14,1,22,1,11,1,19,1,29,1,27,1,22,1
-17 min,13,1,22,1,17,1,18,1,39,1,17,1,18,1
-16 min,14,1,20,1,9,1,22,1,23,1,16,1,19,1
-15 min,14,1,21,1,11,1,18,1,23,1,22,1,20,1
-14 min,12,1,16,1,8,1,24,1,37,1,24,1,21,1
-13 min,12,1,18,1,8,1,8,1,47,1,18,1,19,1
-12 min,14,1,24,1,11,1,25,1,35,1,20,1,14,1
-11 min,11,1,19,1,11,1,19,1,28,1,24,1,23,1
-10 min,9,1,27,1,8,1,24,1,22,1,17,1,14,1
-9 min,12,1,21,1,9,1,26,1,26,1,17,1,15,1
-8 min,12,1,17,1,10,1,23,1,29,1,19,1,22,1
-7 min,16,1,25,1,11,1,30,1,23,1,15,1,33,1
-6 min,16,1,17,1,11,1,22,1,18,1,17,1,21,1
-5 min,17,1,18,1,8,1,18,1,27,1,18,1,20,1
-4 min,10,1,18,1,10,1,27,1,24,1,21,1,20,1
-3 min,11,1,17,1,8,1,20,1,25,1,17,1,22,1
-2 min,14,1,19,1,12,1,26,1,25,1,24,1,25,1
-1 min,14,1,22,1,10,1,21,1,28,1,17,1,19,1
0 min,15,2,22,2,10,2,29,2,27,2,19,2,16,2
1 min,13,2,21,2,9,2,32,2,28,2,25,2,27,2
2 min,14,2,13,2,10,2,23,2,23,2,25,2,20,2
3 min,16,2,23,2,12,2,26,2,23,2,17,2,22,2
4 min,12,2,22,2,14,2,22,2,29,2,16,2,19,2
5 min,21,2,30,2,9,2,22,2,36,2,15,2,24,2
6 min,12,2,22,2,18,2,17,2,31,2,17,2,18,2
7 min,18,2,16,2,10,2,30,2,28,2,21,2,21,2
8 min,14,2,23,2,13,2,21,2,23,2,19,2,19,2
9 min,12,2,25,2,11,2,27,2,17,2,22,2,20,2
10 min,13,2,18,2,12,2,24,2,22,2,20,2,18,2
11 min,14,2,22,2,11,2,21,2,22,2,18,2,24,2
12 min,13,2,20,2,9,2,23,2,25,2,23,2,21,2
13 min,12,2,14,2,12,2,17,2,27,2,17,2,25,2
14 min,12,2,19,2,8,2,15,2,31,2,20,2,21,2
15 min,14,2,22,2,11,2,19,2,27,2,18,2,18,2
16 min,15,2,21,2,9,2,16,2,23,2,29,2,21,2
17 min,13,2,16,2,7,2,25,2,28,2,23,2,22,2
18 min,10,2,20,2,12,2,20,2,25,2,25,2,20,2
19 min,13,2,22,2,16,2,18,2,33,2,19,2,22,2
20 min,13,2,23,2,12,2,23,2,24,2,23,2,15,2
21 min,9,2,32,2,13,2,23,2,29,2,19,2,21,2
22 min,11,2,29,2,16,2,24,2,25,2,21,2,20,2
23 min,11,2,22,2,11,2,20,2,29,2,19,2,22,2
24 min,10,2,27,2,10,2,25,2,22,2,22,2,21,2
25 min,9,2,23,2,9,2,24,2,26,2,17,2,22,2
26 min,12,2,19,2,7,2,33,2,21,2,29,2,26,2
27 min,14,2,19,2,11,2,32,2,18,2,18,2,28,2
28 min,10,2,28,2,11,2,20,2,24,2,21,2,27,2
29 min,10,2,13,2,10,2,21,2,19,2,19,2,31,2
30 min,11,3,24,3,13,3,21,3,27,3,17,3,32,3
31 min,15,3,29,3,10,3,19,3,7,3,16,3,23,3
32 min,12,3,31,3,7,3,16,3,19,3,19,3,24,3
33 min,11,3,24,3,10,3,13,3,20,3,23,3,34,3
34 min,14,3,21,3,9,3,21,3,24,3,23,3,19,3
35 min,11,3,16,3,11,3,19,3,22,3,19,3,13,3
36 min,9,3,28,3,10,3,6,3,19,3,15,3,16,3
37 min,15,3,35,3,8,3,18,3,29,3,24,3,19,3
38 min,11,3,20,3,10,3,15,3,28,3,19,3,27,3
39 min,11,3,15,3,11,3,20,3,26,3,24,3,25,3
40 min,18,3,15,3,10,3,20,3,27,3,19,3,31,3
41 min,13,3,21,3,6,3,22,3,24,3,18,3,31,3
42 min,11,3,22,3,10,3,28,3,0,3,18,3,26,3
43 min,12,3,23,3,11,3,18,3,5,3,23,3,30,3
44 min,15,3,22,3,9,3,17,3,5,3,17,3,29,3
45 min,11,3,31,3,10,3,22,3,8,3,25,3,27,3
46 min,12,3,27,3,7,3,19,3,34,3,19,3,20,3
47 min,9,3,23,3,8,3,21,3,27,3,20,3,29,3
48 min,14,3,18,3,4,3,22,3,27,3,18,3,24,3
49 min,12,3,19,3,13,3,27,3,35,3,23,3,32,3
