Time,nBurstsTotal_20190603_slice2,phaseNumber_20190603_slice2,nBurstsTotal_20190603_slice3,phaseNumber_20190603_slice3,nBurstsTotal_20190603_slice6,phaseNumber_20190603_slice6,nBurstsTotal_20190605_slice3,phaseNumber_20190605_slice3,nBurstsTotal_20190605_slice4,phaseNumber_20190605_slice4,nBurstsTotal_20190606_slice5,phaseNumber_20190606_slice5,nBurstsTotal_20190606_slice7,phaseNumber_20190606_slice7
-20 min,13,1,24,1,8,1,10,1,30,1,38,1,17,1
-19 min,13,1,25,1,9,1,13,1,34,1,23,1,14,1
-18 min,15,1,31,1,11,1,20,1,34,1,28,1,36,1
-17 min,15,1,25,1,17,1,21,1,43,1,18,1,18,1
-16 min,15,1,24,1,9,1,23,1,25,1,19,1,20,1
-15 min,15,1,30,1,12,1,18,1,26,1,23,1,21,1
-14 min,12,1,21,1,9,1,29,1,43,1,26,1,21,1
-13 min,14,1,18,1,8,1,9,1,53,1,18,1,19,1
-12 min,14,1,25,1,11,1,25,1,42,1,20,1,14,1
-11 min,12,1,19,1,11,1,19,1,30,1,25,1,23,1
-10 min,11,1,27,1,8,1,26,1,22,1,20,1,16,1
-9 min,13,1,22,1,10,1,28,1,26,1,17,1,15,1
-8 min,12,1,17,1,10,1,25,1,33,1,20,1,22,1
-7 min,17,1,25,1,11,1,30,1,49,1,16,1,33,1
-6 min,16,1,18,1,13,1,22,1,18,1,18,1,23,1
-5 min,19,1,27,1,8,1,20,1,27,1,19,1,20,1
-4 min,11,1,25,1,10,1,27,1,24,1,21,1,20,1
-3 min,13,1,23,1,8,1,20,1,25,1,17,1,24,1
-2 min,14,1,19,1,13,1,27,1,25,1,27,1,25,1
-1 min,15,1,26,1,10,1,21,1,28,1,17,1,20,1
0 min,20,2,22,2,10,2,29,2,27,2,22,2,19,2
1 min,14,2,21,2,9,2,32,2,28,2,28,2,27,2
2 min,15,2,13,2,10,2,23,2,23,2,25,2,20,2
3 min,17,2,26,2,13,2,27,2,23,2,18,2,29,2
4 min,12,2,31,2,14,2,23,2,29,2,17,2,21,2
5 min,30,2,30,2,9,2,24,2,37,2,16,2,26,2
6 min,14,2,39,2,18,2,19,2,32,2,17,2,18,2
7 min,19,2,17,2,10,2,33,2,29,2,22,2,21,2
8 min,14,2,23,2,14,2,22,2,41,2,20,2,19,2
9 min,12,2,26,2,13,2,27,2,17,2,23,2,21,2
10 min,13,2,31,2,12,2,24,2,22,2,22,2,18,2
11 min,17,2,22,2,11,2,21,2,28,2,21,2,24,2
12 min,14,2,33,2,9,2,25,2,26,2,35,2,21,2
13 min,12,2,14,2,12,2,19,2,27,2,22,2,25,2
14 min,15,2,30,2,8,2,15,2,35,2,22,2,21,2
15 min,15,2,22,2,11,2,21,2,30,2,18,2,18,2
16 min,20,2,28,2,9,2,16,2,24,2,33,2,21,2
17 min,18,2,18,2,8,2,25,2,55,2,23,2,22,2
18 min,10,2,22,2,12,2,20,2,26,2,29,2,20,2
19 min,14,2,22,2,16,2,18,2,35,2,21,2,22,2
20 min,13,2,23,2,12,2,23,2,24,2,31,2,15,2
21 min,9,2,32,2,13,2,24,2,29,2,20,2,21,2
22 min,11,2,29,2,16,2,25,2,26,2,24,2,20,2
23 min,11,2,22,2,11,2,20,2,29,2,22,2,22,2
24 min,12,2,38,2,10,2,31,2,22,2,26,2,21,2
25 min,20,2,23,2,9,2,34,2,26,2,24,2,22,2
26 min,13,2,20,2,7,2,102,2,21,2,34,2,27,2
27 min,15,2,19,2,13,2,57,2,19,2,21,2,29,2
28 min,10,2,44,2,13,2,25,2,24,2,24,2,29,2
29 min,13,2,13,2,10,2,30,2,19,2,27,2,31,2
30 min,14,3,24,3,13,3,22,3,33,3,20,3,33,3
31 min,16,3,29,3,10,3,22,3,7,3,25,3,24,3
32 min,14,3,38,3,11,3,18,3,20,3,26,3,97,3
33 min,12,3,27,3,11,3,15,3,21,3,24,3,69,3
34 min,16,3,21,3,9,3,208,3,24,3,29,3,29,3
35 min,11,3,16,3,11,3,32,3,22,3,20,3,15,3
36 min,9,3,28,3,15,3,11,3,21,3,15,3,17,3
37 min,17,3,35,3,9,3,18,3,30,3,25,3,19,3
38 min,16,3,40,3,12,3,16,3,30,3,29,3,30,3
39 min,11,3,30,3,11,3,22,3,26,3,24,3,26,3
40 min,19,3,15,3,10,3,22,3,27,3,19,3,33,3
41 min,15,3,21,3,6,3,23,3,175,3,18,3,32,3
42 min,12,3,22,3,10,3,30,3,1,3,18,3,29,3
43 min,12,3,36,3,11,3,18,3,5,3,26,3,31,3
44 min,16,3,22,3,9,3,18,3,6,3,26,3,30,3
45 min,17,3,31,3,10,3,25,3,11,3,34,3,28,3
46 min,12,3,38,3,7,3,22,3,35,3,20,3,20,3
47 min,9,3,35,3,8,3,22,3,27,3,21,3,31,3
48 min,14,3,18,3,4,3,24,3,28,3,22,3,26,3
49 min,12,3,19,3,13,3,29,3,39,3,24,3,68,3
