Time,nSpikesInOsc_20190603_slice2,phaseNumber_20190603_slice2,nSpikesInOsc_20190603_slice3,phaseNumber_20190603_slice3,nSpikesInOsc_20190603_slice6,phaseNumber_20190603_slice6,nSpikesInOsc_20190605_slice3,phaseNumber_20190605_slice3,nSpikesInOsc_20190605_slice4,phaseNumber_20190605_slice4,nSpikesInOsc_20190606_slice5,phaseNumber_20190606_slice5,nSpikesInOsc_20190606_slice7,phaseNumber_20190606_slice7
-20 min,72,1,413,1,102,1,102,1,918,1,281,1,144,1
-19 min,88,1,397,1,94,1,150,1,908,1,291,1,198,1
-18 min,101,1,385,1,139,1,223,1,743,1,321,1,306,1
-17 min,116,1,315,1,142,1,235,1,719,1,329,1,191,1
-16 min,122,1,302,1,131,1,380,1,707,1,319,1,290,1
-15 min,147,1,388,1,99,1,361,1,795,1,366,1,201,1
-14 min,149,1,233,1,103,1,430,1,887,1,358,1,202,1
-13 min,164,1,203,1,102,1,44,1,867,1,311,1,257,1
-12 min,166,1,344,1,117,1,559,1,864,1,326,1,211,1
-11 min,181,1,346,1,120,1,497,1,799,1,385,1,326,1
-10 min,196,1,365,1,99,1,507,1,748,1,395,1,199,1
-9 min,171,1,363,1,116,1,492,1,684,1,293,1,137,1
-8 min,195,1,321,1,90,1,516,1,877,1,333,1,212,1
-7 min,213,1,322,1,113,1,515,1,686,1,338,1,382,1
-6 min,213,1,264,1,109,1,435,1,444,1,284,1,304,1
-5 min,189,1,291,1,117,1,414,1,668,1,319,1,194,1
-4 min,224,1,290,1,107,1,544,1,832,1,354,1,312,1
-3 min,207,1,214,1,118,1,489,1,896,1,324,1,242,1
-2 min,226,1,267,1,103,1,550,1,752,1,393,1,312,1
-1 min,226,1,252,1,129,1,392,1,794,1,323,1,194,1
0 min,232,2,213,2,121,2,477,2,671,2,364,2,224,2
1 min,200,2,282,2,140,2,620,2,614,2,414,2,297,2
2 min,206,2,279,2,110,2,469,2,710,2,357,2,224,2
3 min,221,2,273,2,135,2,537,2,703,2,325,2,244,2
4 min,236,2,266,2,123,2,423,2,816,2,293,2,271,2
5 min,234,2,250,2,104,2,521,2,701,2,321,2,271,2
6 min,240,2,279,2,103,2,474,2,887,2,361,2,282,2
7 min,228,2,187,2,128,2,563,2,803,2,382,2,202,2
8 min,228,2,336,2,114,2,492,2,798,2,364,2,287,2
9 min,247,2,314,2,116,2,455,2,516,2,397,2,218,2
10 min,220,2,291,2,104,2,503,2,478,2,393,2,271,2
11 min,240,2,259,2,127,2,495,2,807,2,404,2,276,2
12 min,252,2,256,2,117,2,454,2,854,2,413,2,260,2
13 min,139,2,257,2,113,2,300,2,827,2,320,2,290,2
14 min,258,2,245,2,118,2,387,2,832,2,387,2,308,2
15 min,265,2,277,2,127,2,491,2,825,2,445,2,225,2
16 min,227,2,300,2,118,2,313,2,813,2,392,2,202,2
17 min,242,2,194,2,110,2,502,2,497,2,473,2,250,2
18 min,241,2,276,2,109,2,466,2,688,2,489,2,239,2
19 min,265,2,286,2,135,2,318,2,747,2,337,2,228,2
20 min,261,2,326,2,128,2,567,2,790,2,466,2,280,2
21 min,291,2,315,2,133,2,448,2,864,2,384,2,219,2
22 min,312,2,335,2,109,2,446,2,817,2,382,2,221,2
23 min,319,2,251,2,136,2,404,2,765,2,355,2,276,2
24 min,314,2,299,2,115,2,484,2,700,2,397,2,332,2
25 min,270,2,273,2,110,2,387,2,747,2,324,2,220,2
26 min,324,2,223,2,120,2,462,2,802,2,430,2,286,2
27 min,296,2,242,2,106,2,477,2,806,2,405,2,397,2
28 min,316,2,282,2,130,2,456,2,847,2,390,2,347,2
29 min,297,2,170,2,124,2,516,2,816,2,431,2,256,2
30 min,327,3,294,3,133,3,557,3,839,3,428,3,361,3
31 min,304,3,243,3,119,3,425,3,74,3,360,3,420,3
32 min,310,3,273,3,127,3,391,3,794,3,391,3,388,3
33 min,310,3,277,3,109,3,443,3,778,3,411,3,431,3
34 min,304,3,207,3,114,3,410,3,723,3,461,3,353,3
35 min,301,3,183,3,115,3,66,3,761,3,437,3,380,3
36 min,321,3,312,3,105,3,75,3,718,3,382,3,339,3
37 min,316,3,336,3,109,3,211,3,767,3,423,3,350,3
38 min,315,3,223,3,109,3,325,3,711,3,415,3,376,3
39 min,315,3,223,3,117,3,342,3,704,3,430,3,298,3
40 min,287,3,177,3,129,3,503,3,687,3,393,3,275,3
41 min,339,3,218,3,158,3,592,3,606,3,362,3,285,3
42 min,311,3,185,3,135,3,512,3,46,3,429,3,283,3
43 min,346,3,334,3,113,3,532,3,37,3,469,3,342,3
44 min,325,3,229,3,133,3,441,3,102,3,375,3,373,3
45 min,361,3,263,3,111,3,588,3,204,3,422,3,283,3
46 min,353,3,288,3,102,3,526,3,505,3,387,3,257,3
47 min,302,3,208,3,138,3,513,3,761,3,363,3,367,3
48 min,368,3,236,3,119,3,590,3,841,3,436,3,315,3
49 min,362,3,185,3,130,3,591,3,876,3,431,3,303,3
