Time,nSpikesPerBurst_20190603_slice2,phaseNumber_20190603_slice2,nSpikesPerBurst_20190603_slice3,phaseNumber_20190603_slice3,nSpikesPerBurst_20190603_slice6,phaseNumber_20190603_slice6,nSpikesPerBurst_20190605_slice3,phaseNumber_20190605_slice3,nSpikesPerBurst_20190605_slice4,phaseNumber_20190605_slice4,nSpikesPerBurst_20190606_slice5,phaseNumber_20190606_slice5,nSpikesPerBurst_20190606_slice7,phaseNumber_20190606_slice7
-20 min,5.84615384615385,1,16.6666666666667,1,12.125,1,10.5,1,30.1333333333333,1,9.60526315789474,1,8.41176470588235,1
-19 min,6.69230769230769,1,15.6,1,10.2222222222222,1,11.1538461538462,1,26.5294117647059,1,12.8695652173913,1,13.5,1
-18 min,6.13333333333333,1,13.1290322580645,1,12.5454545454545,1,10.8,1,21.6176470588235,1,11.25,1,12.0555555555556,1
-17 min,7.66666666666667,1,12.64,1,8.11764705882353,1,11.0952380952381,1,16.6976744186047,1,17.6666666666667,1,10.2222222222222,1
-16 min,7.6,1,12.9166666666667,1,14,1,15.9565217391304,1,27.96,1,16.4210526315789,1,14.1,1
-15 min,9.93333333333333,1,15.5333333333333,1,8.16666666666667,1,18.9444444444444,1,30.2307692307692,1,15.304347826087,1,9.04761904761905,1
-14 min,11.9166666666667,1,12.4761904761905,1,11.2222222222222,1,15,1,20.6279069767442,1,14.8076923076923,1,9.09523809523809,1
-13 min,11.7142857142857,1,10.7777777777778,1,12.375,1,5.11111111111111,1,16.4905660377358,1,16.9444444444444,1,13.1052631578947,1
-12 min,11.5,1,13.28,1,10.1818181818182,1,21.64,1,20.9047619047619,1,15.55,1,14.2857142857143,1
-11 min,15.0833333333333,1,17.5263157894737,1,10.1818181818182,1,25.1578947368421,1,26.6333333333333,1,14.76,1,13.4782608695652,1
-10 min,17.9090909090909,1,13.0740740740741,1,11.625,1,19.2307692307692,1,33.5,1,20.05,1,11.875,1
-9 min,12.7692307692308,1,16.3636363636364,1,11.3,1,16.9285714285714,1,25.7307692307692,1,16.8823529411765,1,8.93333333333333,1
-8 min,15.5833333333333,1,17.9411764705882,1,8.5,1,20.48,1,26.4545454545455,1,16.25,1,8.86363636363636,1
-7 min,12.5882352941176,1,12.36,1,9.45454545454546,1,16.4666666666667,1,27.1428571428571,1,20.6875,1,11.0606060606061,1
-6 min,12.8125,1,14.5,1,8,1,19.1363636363636,1,24.1111111111111,1,15.5,1,12.9565217391304,1
-5 min,10.1052631578947,1,11.5925925925926,1,14,1,20.35,1,24.1481481481481,1,16.1578947368421,1,9.15,1
-4 min,20.5454545454545,1,11.92,1,10.6,1,19.4814814814815,1,33.9583333333333,1,16.3809523809524,1,14.9,1
-3 min,16.1538461538462,1,10.0869565217391,1,13.875,1,23.75,1,35.36,1,18.4705882352941,1,9.66666666666667,1
-2 min,15.9285714285714,1,13.4210526315789,1,7.69230769230769,1,19.962962962963,1,29.28,1,14.6666666666667,1,11.88,1
-1 min,14.9333333333333,1,9.61538461538461,1,12,1,17.8095238095238,1,27.9642857142857,1,18.6470588235294,1,9.4,1
0 min,11.85,2,8.90909090909091,2,11.8,2,15.9655172413793,2,24.3703703703704,2,17.2727272727273,2,11.7368421052632,2
1 min,14.2857142857143,2,13.1904761904762,2,15.2222222222222,2,18.84375,2,21.4285714285714,2,14.75,2,10.5555555555556,2
2 min,13.8,2,20.6153846153846,2,10.3,2,19.6521739130435,2,30.2608695652174,2,13.84,2,10.65,2
3 min,12.7647058823529,2,10.4615384615385,2,10.4615384615385,2,19.2592592592593,2,29.8695652173913,2,17.3888888888889,2,9.51724137931035,2
4 min,19.0833333333333,2,10.1290322580645,2,8.28571428571429,2,17.8695652173913,2,27.8275862068966,2,16.9411764705882,2,12.6190476190476,2
5 min,9.93333333333333,2,8.03333333333333,2,10.5555555555556,2,21.4583333333333,2,18.3513513513514,2,19.375,2,10.8461538461538,2
6 min,17.8571428571429,2,9.41025641025641,2,7.27777777777778,2,24.5263157894737,2,27.3125,2,20.4117647058824,2,15.2222222222222,2
7 min,12.1052631578947,2,10.5294117647059,2,12.1,2,16.7878787878788,2,27.551724137931,2,17.0909090909091,2,9.14285714285714,2
8 min,15.9285714285714,2,14.1304347826087,2,8.07142857142857,2,21.8181818181818,2,33.5121951219512,2,17.4,2,14.4210526315789,2
9 min,20.25,2,11.5769230769231,2,9.23076923076923,2,16.4814814814815,2,29.6470588235294,2,16.8260869565217,2,9.80952380952381,2
10 min,16.3076923076923,2,11.3225806451613,2,8.08333333333333,2,20.2083333333333,2,21.2727272727273,2,17.3181818181818,2,14.7222222222222,2
11 min,14.4117647058824,2,11.1363636363636,2,10.8181818181818,2,23.047619047619,2,29,2,19.6666666666667,2,11.125,2
12 min,17.6428571428571,2,12.7575757575758,2,12.3333333333333,2,17.56,2,32.7307692307692,2,12.6857142857143,2,11.8571428571429,2
13 min,11.25,2,17.5,2,8.91666666666667,2,15,2,30.037037037037,2,15.2727272727273,2,11.28,2
14 min,17.6666666666667,2,10.7,2,13.75,2,24.5333333333333,2,24.0285714285714,2,17.2727272727273,2,14.1428571428571,2
15 min,17.6666666666667,2,12,2,11.0909090909091,2,22.8095238095238,2,27.6,2,24.2222222222222,2,11.8888888888889,2
16 min,11.8,2,11.9642857142857,2,11.8888888888889,2,18.625,2,33.2916666666667,2,11.8787878787879,2,8.85714285714286,2
17 min,14.4444444444444,2,10.3888888888889,2,12.625,2,19.48,2,10.2909090909091,2,20.3478260869565,2,10.7272727272727,2
18 min,24.1,2,12.4090909090909,2,8.5,2,22.8,2,26.2307692307692,2,16.8275862068966,2,11.1,2
19 min,18.7857142857143,2,12.6363636363636,2,8.125,2,16.5,2,20.9142857142857,2,16.6666666666667,2,10,2
20 min,20,2,13.7826086956522,2,10.4166666666667,2,23.9565217391304,2,32.25,2,15.6774193548387,2,17.4666666666667,2
21 min,31.7777777777778,2,9.5625,2,9.69230769230769,2,18,2,29.2068965517241,2,18.8,2,9.47619047619048,2
22 min,27.9090909090909,2,10.9655172413793,2,6.6875,2,17.12,2,31.0384615384615,2,15.875,2,10.35,2
23 min,28.8181818181818,2,10.8181818181818,2,11.9090909090909,2,18.85,2,25.7241379310345,2,16.4090909090909,2,11.8636363636364,2
24 min,26.9166666666667,2,11.0789473684211,2,10.5,2,15.4193548387097,2,31.1363636363636,2,15.2692307692308,2,15.047619047619,2
25 min,15.1,2,11.5217391304348,2,11.8888888888889,2,11.5588235294118,2,28.0384615384615,2,14.875,2,9.27272727272727,2
26 min,24.1538461538462,2,10.6,2,16.4285714285714,2,5.01960784313725,2,37.4761904761905,2,12.9117647058824,2,9.88888888888889,2
27 min,19.6,2,12.1578947368421,2,8.07692307692308,2,8.26315789473684,2,41.7368421052632,2,19.6190476190476,2,13.6206896551724,2
28 min,31.1,2,8.65909090909091,2,10,2,17.52,2,34.75,2,16.4583333333333,2,12,2
29 min,22.8461538461538,2,12.6153846153846,2,11.4,2,17.3666666666667,2,42.0526315789474,2,16.3333333333333,2,8.06451612903226,2
30 min,23.6428571428571,3,11.5416666666667,3,10,3,24.5454545454545,3,28.2727272727273,3,21.5,3,10.4545454545455,3
31 min,18.5625,3,7.96551724137931,3,11.8,3,18.5909090909091,3,10.1428571428571,3,15.12,3,17,3
32 min,21.9285714285714,3,7.65789473684211,3,11.9090909090909,3,21.2222222222222,3,39.15,3,15.5769230769231,3,7.83505154639175,3
33 min,26,3,10.1481481481481,3,9.63636363636364,3,28.8,3,36.6666666666667,3,17,3,7.17391304347826,3
34 min,19.0625,3,9.38095238095238,3,11.3333333333333,3,12.6153846153846,3,29.6666666666667,3,16.2068965517241,3,12.551724137931,3
35 min,27.0909090909091,3,10.25,3,9.63636363636364,3,2.6875,3,34.2727272727273,3,21.45,3,26.7333333333333,3
36 min,35.6666666666667,3,10.5357142857143,3,8.2,3,7.72727272727273,3,33.8571428571429,3,24.8,3,19.4705882352941,3
37 min,18.8235294117647,3,9.14285714285714,3,11.5555555555556,3,11.1666666666667,3,25.1,3,16.68,3,17.7894736842105,3
38 min,20.5625,3,9.35,3,9.08333333333333,3,19.1875,3,23.4333333333333,3,15.1034482758621,3,12.4,3
39 min,28.0909090909091,3,11.1,3,9.81818181818182,3,15.1363636363636,3,26.6153846153846,3,17.4583333333333,3,10.7692307692308,3
40 min,14.8421052631579,3,11.4,3,12.3,3,22.5,3,24.5555555555556,3,20.4210526315789,3,7.84848484848485,3
41 min,22.6,3,9.76190476190476,3,26,3,25.2173913043478,3,21.08,3,19.7222222222222,3,7.9375,3
42 min,25.9166666666667,3,7.59090909090909,3,13.2,3,16.5,3,2,3,23.2777777777778,3,9.68965517241379,3
43 min,28.3333333333333,3,12.2222222222222,3,9.72727272727273,3,28.2777777777778,3,7.6,3,18,3,10.258064516129,3
44 min,20.3125,3,9.86363636363636,3,13.8888888888889,3,24.1111111111111,3,17.6666666666667,3,14.8461538461538,3,11.7333333333333,3
45 min,22.7647058823529,3,7.80645161290323,3,10.4,3,23.12,3,22.7272727272727,3,13.3823529411765,3,9.5,3
46 min,29,3,9.18421052631579,3,13.5714285714286,3,23.5909090909091,3,14.2,3,19.1,3,11.6,3
47 min,33.1111111111111,3,10.1428571428571,3,16.875,3,22.5909090909091,3,27.4814814814815,3,17,3,11.4193548387097,3
48 min,25.8571428571429,3,12,3,28.25,3,24,3,29.5,3,20.2727272727273,3,11.5,3
49 min,29.5833333333333,3,9.05263157894737,3,9.30769230769231,3,19.8965517241379,3,22.2564102564103,3,17.6666666666667,3,5.30882352941176,3
