Time,nSpikesTotal_20190603_slice2,phaseNumber_20190603_slice2,nSpikesTotal_20190603_slice3,phaseNumber_20190603_slice3,nSpikesTotal_20190603_slice6,phaseNumber_20190603_slice6,nSpikesTotal_20190605_slice3,phaseNumber_20190605_slice3,nSpikesTotal_20190605_slice4,phaseNumber_20190605_slice4,nSpikesTotal_20190606_slice5,phaseNumber_20190606_slice5,nSpikesTotal_20190606_slice7,phaseNumber_20190606_slice7
-20 min,89,1,422,1,111,1,154,1,925,1,391,1,181,1
-19 min,103,1,409,1,97,1,190,1,927,1,314,1,201,1
-18 min,110,1,432,1,142,1,266,1,770,1,334,1,456,1
-17 min,122,1,331,1,146,1,280,1,734,1,340,1,193,1
-16 min,128,1,332,1,132,1,422,1,725,1,334,1,301,1
-15 min,155,1,481,1,103,1,397,1,818,1,381,1,207,1
-14 min,154,1,292,1,108,1,488,1,911,1,408,1,204,1
-13 min,176,1,205,1,105,1,50,1,909,1,318,1,260,1
-12 min,167,1,347,1,117,1,596,1,899,1,330,1,218,1
-11 min,190,1,348,1,120,1,534,1,821,1,395,1,326,1
-10 min,203,1,369,1,105,1,546,1,754,1,420,1,204,1
-9 min,179,1,374,1,120,1,525,1,690,1,299,1,140,1
-8 min,198,1,325,1,95,1,559,1,900,1,404,1,213,1
-7 min,220,1,328,1,113,1,549,1,1384,1,344,1,382,1
-6 min,213,1,276,1,118,1,481,1,451,1,289,1,311,1
-5 min,198,1,453,1,117,1,455,1,671,1,327,1,200,1
-4 min,235,1,330,1,108,1,569,1,835,1,363,1,313,1
-3 min,219,1,251,1,120,1,522,1,897,1,328,1,251,1
-2 min,230,1,273,1,105,1,593,1,756,1,404,1,313,1
-1 min,231,1,271,1,130,1,412,1,801,1,331,1,199,1
0 min,251,2,214,2,121,2,501,2,674,2,398,2,238,2
1 min,207,2,286,2,140,2,643,2,615,2,425,2,297,2
2 min,210,2,285,2,110,2,490,2,714,2,361,2,227,2
3 min,226,2,290,2,137,2,577,2,704,2,336,2,316,2
4 min,241,2,337,2,126,2,452,2,818,2,301,2,276,2
5 min,308,2,254,2,104,2,557,2,703,2,325,2,291,2
6 min,257,2,397,2,143,2,511,2,892,2,369,2,288,2
7 min,237,2,194,2,128,2,608,2,813,2,394,2,204,2
8 min,230,2,337,2,117,2,525,2,1398,2,369,2,293,2
9 min,251,2,322,2,127,2,485,2,519,2,403,2,221,2
10 min,226,2,372,2,106,2,534,2,482,2,410,2,274,2
11 min,256,2,266,2,128,2,532,2,830,2,434,2,280,2
12 min,259,2,445,2,120,2,489,2,877,2,469,2,262,2
13 min,140,2,259,2,114,2,341,2,834,2,359,2,290,2
14 min,279,2,336,2,121,2,426,2,856,2,395,2,311,2
15 min,270,2,279,2,130,2,527,2,852,2,448,2,227,2
16 min,251,2,365,2,118,2,348,2,821,2,408,2,205,2
17 min,286,2,202,2,113,2,529,2,655,2,483,2,253,2
18 min,251,2,294,2,110,2,511,2,695,2,506,2,245,2
19 min,269,2,287,2,136,2,357,2,758,2,361,2,233,2
20 min,268,2,327,2,129,2,604,2,800,2,503,2,288,2
21 min,294,2,321,2,133,2,490,2,866,2,393,2,226,2
22 min,316,2,341,2,111,2,507,2,824,2,404,2,232,2
23 min,325,2,253,2,138,2,460,2,766,2,384,2,290,2
24 min,331,2,437,2,117,2,603,2,708,2,413,2,345,2
25 min,313,2,278,2,111,2,587,2,749,2,375,2,243,2
26 min,328,2,236,2,121,2,971,2,805,2,460,2,311,2
27 min,302,2,242,2,118,2,776,2,818,2,434,2,448,2
28 min,326,2,410,2,136,2,601,2,852,2,409,2,401,2
29 min,311,2,177,2,126,2,674,2,822,2,460,2,315,2
30 min,370,3,298,3,135,3,637,3,968,3,449,3,423,3
31 min,314,3,246,3,122,3,520,3,80,3,405,3,476,3
32 min,321,3,314,3,173,3,455,3,802,3,432,3,938,3
33 min,322,3,313,3,115,3,496,3,789,3,417,3,726,3
34 min,313,3,210,3,116,3,2780,3,725,3,487,3,484,3
35 min,311,3,183,3,118,3,312,3,765,3,444,3,525,3
36 min,331,3,314,3,135,3,127,3,729,3,385,3,450,3
37 min,337,3,339,3,116,3,261,3,773,3,429,3,442,3
38 min,340,3,409,3,116,3,382,3,724,3,459,3,479,3
39 min,321,3,353,3,117,3,388,3,709,3,435,3,398,3
40 min,293,3,182,3,129,3,540,3,694,3,398,3,363,3
41 min,349,3,221,3,161,3,631,3,3963,3,368,3,376,3
42 min,319,3,188,3,138,3,554,3,49,3,431,3,383,3
43 min,347,3,463,3,113,3,569,3,72,3,482,3,447,3
44 min,334,3,234,3,134,3,482,3,120,3,411,3,452,3
45 min,398,3,267,3,112,3,636,3,270,3,478,3,358,3
46 min,358,3,377,3,106,3,585,3,516,3,391,3,334,3
47 min,307,3,390,3,139,3,563,3,771,3,373,3,439,3
48 min,371,3,237,3,120,3,633,3,859,3,466,3,409,3
49 min,366,3,190,3,130,3,648,3,895,3,439,3,679,3
