Time,oscDurationSec_20190603_slice2,phaseNumber_20190603_slice2,oscDurationSec_20190603_slice3,phaseNumber_20190603_slice3,oscDurationSec_20190603_slice6,phaseNumber_20190603_slice6,oscDurationSec_20190605_slice3,phaseNumber_20190605_slice3,oscDurationSec_20190605_slice4,phaseNumber_20190605_slice4,oscDurationSec_20190606_slice5,phaseNumber_20190606_slice5,oscDurationSec_20190606_slice7,phaseNumber_20190606_slice7
-20 min,0.942300000000004,1,7.4123,1,2.8223,1,1.9023,1,8.8123,1,5.0423,1,3.7623,1
-19 min,1.2223,1,6.8823,1,1.5923,1,2.4023,1,9.2523,1,6.2323,1,4.3723,1
-18 min,1.7423,1,6.3923,1,1.9123,1,3.8323,1,8.6023,1,5.8723,1,5.9123,1
-17 min,1.3123,1,5.9923,1,1.9423,1,3.4323,1,7.4223,1,7.5323,1,4.5223,1
-16 min,1.3723,1,6.6323,1,1.8523,1,5.2823,1,8.5823,1,5.3523,1,5.8423,1
-15 min,1.4423,1,7.0023,1,1.9723,1,4.7923,1,7.0423,1,5.7823,1,4.2923,1
-14 min,1.4023,1,4.3823,1,1.4823,1,5.3823,1,8.4623,1,6.3123,1,5.6423,1
-13 min,1.4323,1,4.3623,1,1.3723,1,1.0123,1,9.9723,1,5.3423,1,5.6323,1
-12 min,1.4123,1,7.1123,1,1.8723,1,7.0223,1,8.5023,1,7.1523,1,4.9723,1
-11 min,1.5023,1,6.0123,1,1.8923,1,5.5223,1,7.3323,1,7.5023,1,7.0723,1
-10 min,1.9923,1,6.6223,1,1.8623,1,6.0423,1,5.9823,1,5.2423,1,4.9923,1
-9 min,1.5423,1,5.9923,1,1.9523,1,6.8923,1,5.6323,1,4.8723,1,3.7523,1
-8 min,1.5923,1,5.4323,1,1.4223,1,6.3023,1,7.4623,1,5.7123,1,5.7123,1
-7 min,1.7323,1,5.4923,1,1.9123,1,6.9023,1,6.3123,1,4.8223,1,7.7023,1
-6 min,1.6223,1,4.9323,1,1.8623,1,5.1123,1,3.6523,1,4.8523,1,6.2023,1
-5 min,1.6023,1,5.5023,1,1.9023,1,5.3123,1,6.5223,1,7.0523,1,5.0923,1
-4 min,1.8623,1,5.5223,1,1.9223,1,6.3323,1,7.4623,1,5.3123,1,6.4323,1
-3 min,2.0223,1,4.5123,1,1.9123,1,5.1323,1,7.0223,1,5.7123,1,6.4023,1
-2 min,2.0223,1,5.0023,1,1.9523,1,6.3223,1,6.9823,1,4.9023,1,6.6823,1
-1 min,1.6923,1,5.0223,1,1.9223,1,5.0523,1,6.8823,1,4.9623,1,4.6423,1
0 min,1.6023,2,4.5423,2,1.8723,2,5.5723,2,5.8623,2,5.8923,2,4.9323,2
1 min,1.6623,2,4.9523,2,1.8823,2,6.8923,2,5.8223,2,7.3023,2,6.2323,2
2 min,1.7923,2,4.9823,2,1.8823,2,5.0323,2,5.9723,2,7.0923,2,5.2623,2
3 min,1.9423,2,5.0223,2,1.9323,2,6.1223,2,5.3623,2,5.2823,2,5.1223,2
4 min,1.5423,2,5.5823,2,1.9123,2,4.9123,2,7.4023,2,4.2423,2,5.6823,2
5 min,1.6623,2,5.0223,2,1.9823,2,5.7823,2,7.0123,2,5.4223,2,5.3523,2
6 min,1.5023,2,5.4623,2,1.8623,2,5.1123,2,6.9223,2,5.3423,2,5.6323,2
7 min,1.6723,2,4.0823,2,3.4223,2,8.5023,2,6.5023,2,7.5923,2,5.0123,2
8 min,1.6123,2,6.0523,2,1.8723,2,5.0923,2,5.7523,2,7.3923,2,6.2623,2
9 min,1.8923,2,5.4623,2,1.8623,2,5.5923,2,4.0323,2,5.8523,2,5.8323,2
10 min,2.5423,2,5.4623,2,1.8323,2,5.6323,2,4.3823,2,8.0823,2,5.2723,2
11 min,1.5923,2,6.0223,2,1.9023,2,4.8123,2,6.6123,2,5.9723,2,5.7323,2
12 min,2.7023,2,4.9623,2,1.4723,2,5.2523,2,7.0123,2,8.7523,2,5.7323,2
13 min,1.3323,2,4.0623,2,1.9423,2,3.1123,2,6.3023,2,5.0623,2,5.5923,2
14 min,1.6323,2,4.4423,2,1.5523,2,4.6523,2,6.6023,2,6.1223,2,5.2023,2
15 min,1.7223,2,5.0823,2,1.9423,2,5.3723,2,7.1223,2,5.3823,2,5.9423,2
16 min,1.3423,2,5.5023,2,1.8623,2,3.6723,2,6.2623,2,7.2423,2,5.2823,2
17 min,1.6123,2,3.9323,2,1.5623,2,5.1523,2,4.8223,2,6.2523,2,6.2723,2
18 min,1.1923,2,5.5223,2,1.9123,2,4.5223,2,6.1223,2,6.9723,2,5.3823,2
19 min,1.5223,2,5.5423,2,2.0023,2,4.0923,2,8.7323,2,4.7223,2,5.3423,2
20 min,1.5623,2,6.0823,2,1.8523,2,5.5923,2,6.2123,2,5.8623,2,5.5123,2
21 min,1.6123,2,6.0123,2,1.9723,2,4.6623,2,7.1523,2,6.1123,2,4.5123,2
22 min,1.7623,2,6.1323,2,1.5623,2,5.1623,2,6.6723,2,4.8423,2,4.2423,2
23 min,1.6323,2,6.1323,2,1.8723,2,4.4323,2,7.2723,2,4.2223,2,4.6523,2
24 min,1.7023,2,6.2123,2,1.8423,2,4.5923,2,5.4723,2,6.3923,2,5.1423,2
25 min,1.5623,2,5.1923,2,1.8223,2,4.1623,2,5.4223,2,4.6323,2,4.3623,2
26 min,2.4623,2,3.5623,2,1.8823,2,10.1423,2,6.3023,2,6.0323,2,4.3623,2
27 min,1.5923,2,5.0423,2,1.9423,2,8.0623,2,5.6823,2,5.7723,2,4.7423,2
28 min,1.8923,2,5.9623,2,1.9523,2,4.7223,2,6.2923,2,8.2923,2,4.3723,2
