Time,oscIndex3_20190603_slice2,phaseNumber_20190603_slice2,oscIndex3_20190603_slice3,phaseNumber_20190603_slice3,oscIndex3_20190603_slice6,phaseNumber_20190603_slice6,oscIndex3_20190605_slice3,phaseNumber_20190605_slice3,oscIndex3_20190605_slice4,phaseNumber_20190605_slice4,oscIndex3_20190606_slice5,phaseNumber_20190606_slice5,oscIndex3_20190606_slice7,phaseNumber_20190606_slice7
-20 min,NaN,1,0.882683959679966,1,0.844611093687324,1,0.899280443191059,1,0.831578921466823,1,0.49915963325327,1,0.562528441648247,1
-19 min,0.63742682434596,1,0.863787325309947,1,0.661835684897208,1,0.795454364471354,1,0.886419634472244,1,0.862660290206735,1,0.874308291902107,1
-18 min,0.660818661877155,1,0.894736679864911,1,0.774647840455133,1,0.894909644784798,1,0.878131365761565,1,0.94999954326084,1,0.943076448102735,1
-17 min,0.666666562269941,1,0.891682780917887,1,0.619402963215975,1,0.858747959300431,1,0.710631274603246,1,0.868929165577838,1,0.781397364138929,1
-16 min,0.654008271651144,1,0.937092400174206,1,0.936507531707669,1,0.901660831977215,1,0.923492002767656,1,0.945198463040942,1,0.881606134386267,1
-15 min,0.785714153952109,1,0.903672624341413,1,0.783068517902664,1,0.932427566098626,1,0.950777375378343,1,0.911717947275687,1,0.897180618061227,1
-14 min,0.722666645414722,1,0.913461329933612,1,0.769028723267406,1,0.886302284532589,1,0.778947358680412,1,0.91000498279031,1,0.820110770087771,1
-13 min,0.674930984030358,1,0.972995394482569,1,0.648484840926135,1,0.739129986203904,1,0.925972447370291,1,0.781327294816537,1,0.865813046266442,1
-12 min,0.749999945315684,1,0.900452351404278,1,NaN,1,0.828798065572852,1,0.506351574751943,1,0.851050885062178,1,0.867768555774714,1
-11 min,0.718181726430307,1,0.986111005805699,1,0.829268177877368,1,0.81724093256799,1,0.897301202165269,1,0.961656239799247,1,0.976890389654524,1
-10 min,0.704545427297528,1,0.887355709223501,1,0.679999879972441,1,0.802110716525917,1,0.873015514376454,1,0.944780879430783,1,0.568570853707137,1
-9 min,0.606896411155939,1,0.920138839808675,1,0.567415581164092,1,0.850934032995181,1,0.9313127867226,1,0.580901831509579,1,0.812703214172279,1
-8 min,0.742857078781238,1,0.927748465672174,1,0.646258226860114,1,0.957109273454705,1,0.95645330802905,1,0.556499446172595,1,0.688020337710057,1
-7 min,NaN,1,0.93181817468216,1,0.653845883236635,1,0.662051632315964,1,0.79752893788848,1,0.867350351379501,1,0.94943775651703,1
-6 min,NaN,1,0.930526268451132,1,0.63483138723768,1,0.910203916706959,1,0.972756201822799,1,0.847400492573867,1,0.885534292410135,1
-5 min,0.590277713155519,1,0.875686759783122,1,0.967741601501732,1,0.959278248265415,1,0.953283661725804,1,0.915723576905734,1,0.689034305861198,1
-4 min,0.776698918982941,1,0.94383189298824,1,0.853551508884731,1,0.867974055476563,1,0.678289909279297,1,0.524590047818223,1,0.939849179647108,1
-3 min,0.832167535456268,1,0.916501757439819,1,0.781420452314793,1,0.934335627987026,1,0.856543248493683,1,0.554832384447496,1,0.890151418745357,1
-2 min,0.648936134117175,1,0.589663741281733,1,0.784210437028385,1,0.859970483169468,1,0.866401586177265,1,0.543255526860226,1,0.726114507172598,1
-1 min,0.617886123740239,1,0.942823041281368,1,0.777777643717848,1,0.938757425815517,1,0.92931718809541,1,0.942058137413435,1,0.606439837922898,1
0 min,0.697841695888611,2,0.919816659098498,2,0.694117623043371,2,0.933898237934633,2,0.840730672598418,2,0.911024898783146,2,0.753939128295409,2
1 min,0.83687925448384,2,0.949998995581038,2,NaN,2,0.793750863868049,2,0.93567231957139,2,0.84015979292218,2,0.955156201939505,2
2 min,0.588235273007758,2,0.950730954025299,2,NaN,2,0.930543661335983,2,0.925519943039174,2,0.475625203586493,2,0.661762917065876,2
3 min,0.972972905337317,2,0.967154802610658,2,0.939890337741253,2,0.932772824443692,2,0.948673788255488,2,0.898214221510182,2,0.840995301247839,2
4 min,NaN,2,0.905262915694304,2,0.885714109982324,2,0.953124422490688,2,0.870775119851562,2,0.929783901181976,2,0.565431957482469,2
5 min,0.916666516012334,2,0.916062104211774,2,0.661016684148871,2,0.828396118318456,2,0.748791873195124,2,0.832098616618915,2,0.80619370909644,2
6 min,0.769230658431678,2,0.917247625960013,2,0.646067351187777,2,0.907406827330577,2,0.758013543423421,2,0.849729694228688,2,0.876651966918442,2
7 min,0.885135133440423,2,0.924137714851544,2,0.691489279404502,2,0.887309393004803,2,0.928571418414381,2,0.869784671431758,2,0.895505955244672,2
8 min,NaN,2,0.940663010987482,2,0.922221878116626,2,0.953703608981661,2,0.886363440978726,2,0.545015250401904,2,0.861799101600343,2
9 min,0.636363580042798,2,0.931389314611723,2,0.642424097047827,2,0.947691170920921,2,0.939452379725325,2,0.964235178102159,2,0.754202892475879,2
10 min,0.859154516205065,2,0.923493633178619,2,0.609142746166323,2,0.950903740781859,2,0.911564549289372,2,0.57338239024164,2,0.740551553515276,2
11 min,0.800994839064562,2,0.913513441101007,2,0.778417146334044,2,0.901488501213156,2,0.918963473507846,2,0.542976653651503,2,0.842808980273515,2
12 min,NaN,2,0.963932495514517,2,0.736432556927773,2,0.883999918438432,2,0.942174975165134,2,0.516339769647597,2,0.765604177501167,2
13 min,0.795698754375962,2,0.968688283206433,2,0.935483575171714,2,0.896174585102242,2,0.948716569509299,2,0.926528128967964,2,0.952380101705066,2
14 min,0.986841947046306,2,0.871041972733146,2,0.972222218021653,2,0.944214528480143,2,0.510232885102299,2,0.948936159110825,2,0.947114875012538,2
15 min,0.920862987278885,2,0.920833126104396,2,0.956989154925914,2,0.936427298137982,2,0.845628727115634,2,0.904225310612955,2,0.628014990856642,2
16 min,NaN,2,0.871212045052757,2,0.89887607606236,2,0.921985390254402,2,0.915497052976736,2,0.771361655099064,2,0.795833136874954,2
17 min,NaN,2,0.93229132239076,2,0.869565165769248,2,0.940939502623542,2,0.909120864783191,2,0.883923800278226,2,0.60168914336309,2
18 min,NaN,2,0.971390453841538,2,0.661538456491181,2,0.971509793842499,2,0.934950482210997,2,0.502109586349357,2,0.836363621383788,2
19 min,NaN,2,0.808353776042197,2,NaN,2,0.885714180617372,2,0.89711536616256,2,0.92192180932437,2,0.817204229472734,2
20 min,0.759999994002448,2,0.965277405670057,2,0.898550646626282,2,0.90273967144428,2,0.939176739867842,2,0.914942470713812,2,0.858585617988594,2
21 min,0.973333168806767,2,0.928131415853954,2,0.645389795318854,2,0.862244771281166,2,0.894703838803456,2,0.552260257161556,2,0.72525237656727,2
22 min,NaN,2,0.863635914566267,2,NaN,2,0.922413766551679,2,0.945225558729596,2,0.641262307172727,2,0.541590395293591,2
