Time,oscPeriod1Ms_20190603_slice2,phaseNumber_20190603_slice2,oscPeriod1Ms_20190603_slice3,phaseNumber_20190603_slice3,oscPeriod1Ms_20190603_slice6,phaseNumber_20190603_slice6,oscPeriod1Ms_20190605_slice3,phaseNumber_20190605_slice3,oscPeriod1Ms_20190605_slice4,phaseNumber_20190605_slice4,oscPeriod1Ms_20190606_slice5,phaseNumber_20190606_slice5,oscPeriod1Ms_20190606_slice7,phaseNumber_20190606_slice7
-20 min,690,1,470,1,610,1,410,1,400,1,440,1,390,1
-19 min,570,1,470,1,580,1,420,1,400,1,460,1,410,1
-18 min,470,1,470,1,470,1,420,1,410,1,480,1,430,1
-17 min,620,1,470,1,690,1,430,1,410,1,470,1,420,1
-16 min,790,1,480,1,420,1,460,1,410,1,470,1,430,1
-15 min,560,1,490,1,490,1,450,1,410,1,460,1,440,1
-14 min,610,1,460,1,480,1,460,1,410,1,460,1,440,1
-13 min,640,1,470,1,550,1,380,1,430,1,450,1,430,1
-12 min,620,1,480,1,810,1,480,1,430,1,460,1,440,1
-11 min,790,1,480,1,680,1,480,1,410,1,460,1,460,1
-10 min,620,1,490,1,860,1,480,1,410,1,470,1,430,1
-9 min,620,1,480,1,910,1,480,1,410,1,450,1,430,1
-8 min,880,1,480,1,490,1,490,1,420,1,460,1,450,1
-7 min,660,1,480,1,520,1,470,1,430,1,460,1,430,1
-6 min,640,1,470,1,520,1,490,1,410,1,460,1,430,1
-5 min,590,1,480,1,450,1,470,1,420,1,460,1,470,1
-4 min,800,1,480,1,460,1,490,1,430,1,460,1,440,1
-3 min,640,1,470,1,510,1,500,1,420,1,460,1,440,1
-2 min,640,1,460,1,490,1,500,1,420,1,460,1,440,1
-1 min,820,1,470,1,460,1,470,1,420,1,460,1,420,1
0 min,970,2,490,2,590,2,480,2,420,2,460,2,430,2
1 min,820,2,470,2,450,2,500,2,430,2,460,2,450,2
2 min,1020,2,480,2,480,2,470,2,410,2,450,2,430,2
3 min,900,2,480,2,470,2,480,2,420,2,460,2,440,2
4 min,820,2,480,2,490,2,480,2,430,2,450,2,430,2
5 min,440,2,470,2,590,2,480,2,430,2,460,2,430,2
6 min,600,2,490,2,760,2,490,2,430,2,460,2,450,2
7 min,1310,2,510,2,500,2,490,2,420,2,470,2,420,2
8 min,880,2,470,2,480,2,480,2,440,2,450,2,440,2
9 min,770,2,480,2,490,2,490,2,430,2,460,2,450,2
10 min,610,2,490,2,490,2,480,2,420,2,450,2,430,2
11 min,670,2,470,2,460,2,490,2,430,2,450,2,450,2
12 min,650,2,480,2,140,2,500,2,420,2,450,2,440,2
13 min,580,2,480,2,490,2,470,2,430,2,450,2,440,2
14 min,770,2,480,2,480,2,470,2,440,2,460,2,450,2
15 min,640,2,480,2,480,2,490,2,430,2,450,2,430,2
16 min,0,2,500,2,400,2,470,2,430,2,460,2,440,2
17 min,0,2,490,2,530,2,490,2,410,2,460,2,440,2
18 min,610,2,480,2,650,2,480,2,420,2,460,2,480,2
19 min,620,2,470,2,980,2,460,2,430,2,450,2,440,2
20 min,570,2,490,2,500,2,490,2,430,2,480,2,430,2
21 min,770,2,500,2,470,2,490,2,430,2,450,2,440,2
22 min,0,2,510,2,630,2,490,2,430,2,450,2,400,2
23 min,0,2,490,2,420,2,480,2,440,2,450,2,430,2
24 min,1200,2,490,2,670,2,490,2,430,2,450,2,450,2
25 min,1260,2,490,2,470,2,480,2,430,2,440,2,420,2
26 min,0,2,490,2,480,2,460,2,430,2,450,2,440,2
27 min,0,2,490,2,500,2,480,2,420,2,450,2,450,2
28 min,0,2,500,2,700,2,490,2,430,2,450,2,440,2
29 min,0,2,490,2,500,2,490,2,430,2,450,2,430,2
30 min,0,3,500,3,490,3,480,3,430,3,450,3,430,3
31 min,620,3,470,3,410,3,480,3,490,3,440,3,440,3
32 min,730,3,480,3,470,3,470,3,420,3,440,3,430,3
33 min,750,3,500,3,470,3,490,3,430,3,440,3,380,3
34 min,0,3,460,3,900,3,450,3,430,3,440,3,380,3
35 min,920,3,460,3,490,3,740,3,430,3,440,3,380,3
36 min,1290,3,500,3,440,3,660,3,430,3,450,3,370,3
37 min,610,3,490,3,480,3,440,3,430,3,440,3,420,3
38 min,1380,3,500,3,920,3,480,3,430,3,440,3,380,3
39 min,540,3,500,3,490,3,460,3,430,3,450,3,490,3
40 min,590,3,480,3,510,3,480,3,420,3,440,3,590,3
41 min,0,3,480,3,480,3,480,3,440,3,430,3,450,3
42 min,1250,3,450,3,410,3,470,3,980,3,440,3,460,3
43 min,680,3,490,3,0,3,450,3,0,3,450,3,470,3
44 min,0,3,480,3,590,3,480,3,550,3,430,3,460,3
45 min,1260,3,480,3,770,3,480,3,480,3,450,3,510,3
46 min,430,3,490,3,490,3,480,3,500,3,430,3,390,3
47 min,930,3,490,3,510,3,480,3,470,3,430,3,480,3
48 min,960,3,480,3,680,3,490,3,460,3,430,3,460,3
49 min,730,3,480,3,790,3,460,3,460,3,440,3,440,3
