phaseNumber,phaseName,filtFreq_1,filtFreq_2,signal2Noise,minDelayMs,binWidthMs,binWidthSec,filterWidthMs,minRelProm,minSpikeRateInBurstHz,minBurstLengthMs,maxInterBurstIntervalMs,maxInterBurstIntervalSec,resolutionMs,siMs,minTimeMs,maxTimeMs,siSeconds,minTimeSec,maxTimeSec,idxStimStart,stimStartMs,stimStartSec,baseWindow_1,baseWindow_2,baseSlopeNoise,slopeThreshold,idxDetectStart,detectStartMs,detectStartSec,nSpikesTotal,idxFirstSpike,firstSpikeMs,firstSpikeSec,vMin,vMax,vRange,slopeMin,slopeMax,slopeRange,nBins,halfNBins,histLeftMs,histLeftSec,nSpikesPerBurst,nSpikesPerBurstIn10s,nSpikesPerBurstInOsc,nSpikesIn10s,nSpikesInOsc,nBurstsTotal,nBurstsIn10s,nBurstsInOsc,iBinLastOfLastBurst,iBinLastOfLastBurstIn10s,iBinLastOfLastBurstInOsc,timeOscEndMs,timeOscEndSec,oscDurationMs,oscDurationSec,oscIndex1,oscIndex2,oscIndex3,oscIndex4,oscPeriod1Ms,oscPeriod2Ms,minOscPeriod2Bins,maxOscPeriod2Bins,figPathBase,figTitleBase
1,baseline,100,1000,2.70658156990074,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.4469374602657,3.91625426275413,29627,2962.7,2.9627,215,29654,2965.4,2.9654,-5.28279877561464,4.5671532773685,9.84995205298315,-16.1290555563196,12.9185926268057,29.0476481831253,4923,2461,2960,2.96,22.1111111111111,22.1111111111111,22.1111111111111,210,206,9,9,9,211,211,211,5070,5.07,2132.3,2.1323,0.914560319840789,0.931256644841932,0.962601382732544,0.474278991165059,340,341.666442456327,22.6666666666667,51,20190605_slice7_trace1,20190605\_slice7\_trace1
1,baseline,100,1000,2.70658156990074,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.41868114106789,3.83977622998012,29627,2962.7,2.9627,254,29628,2962.8,2.9628,-4.93305098180637,4.84757339116396,9.78062437297034,-15.667685233426,10.9413449110706,26.6090301444966,5062,2531,2960,2.96,16.0666666666667,16.0666666666667,16.0666666666667,250,248,15,15,15,285,285,285,5810,5.81,2872.3,2.8723,0.88137117180357,0.894573276293824,0.941605393576982,0.477379103790132,340,342.499872882696,22.6666666666667,51,20190605_slice7_trace2,20190605\_slice7\_trace2
1,baseline,100,1000,2.70658156990074,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.37906649701038,3.73255596447587,29627,2962.7,2.9627,281,29629,2962.9,2.9629,-3.69282800458131,4.34573601247582,8.03856401705713,-13.5142642245194,12.5672669848297,26.0815312093491,1250,625,2960,2.96,16.625,20,21.25,271,265,16,13,12,1248,836,251,5470,5.47,2532.3,2.5323,0.91510562667351,0.913999295095774,0.960783197041628,0.563185466516101,340,340.000128233811,22.6666666666667,51,20190605_slice7_trace3,20190605\_slice7\_trace3
1,baseline,100,1000,2.70658156990074,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.39715093160492,3.78150296185154,29627,2962.7,2.9627,293,29631,2963.1,2.9631,-4.33136137164626,4.71693075839895,9.04829213004521,-17.2119603656691,15.7645081621056,32.9764685277747,2882,1441,2960,2.96,21.3076923076923,21.3076923076923,21.3076923076923,290,284,13,13,13,248,248,248,5440,5.44,2502.3,2.5023,0.826072410899466,0.864721066403779,0.967637124056205,0.55890896765567,340,343.333249189461,22.6666666666667,51,20190605_slice7_trace4,20190605\_slice7\_trace4
1,baseline,100,1000,2.70658156990074,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38487206453071,3.74826920652921,29627,2962.7,2.9627,276,29633,2963.3,2.9633,-4.74022294837736,4.57780097126034,9.31802391963771,-19.3205000683411,16.0404524210527,35.3609524893938,5135,2567,2960,2.96,20.0769230769231,20.0769230769231,21.5833333333333,273,271,13,13,12,759,759,248,5440,5.44,2502.3,2.5023,0.888465010082086,0.924947294824498,0.974109714877208,0.568033767543118,340,343.333363272901,22.6666666666667,51,20190605_slice7_trace5,20190605\_slice7\_trace5
1,baseline,100,1000,2.70658156990074,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38144146586027,3.73898401139406,29627,2962.7,2.9627,317,29651,2965.1,2.9651,-4.62744378205942,5.32278186346417,9.95022564552359,-16.887439284945,12.0594773957626,28.9469166807076,5634,2817,2960,2.96,20.6666666666667,20.6666666666667,20.6666666666667,316,316,15,15,15,286,286,286,5820,5.82,2882.3,2.8823,0.848043804348018,0.85562116776157,0.954887187980935,0.547553547195873,340,341.999995588712,22.6666666666667,51,20190605_slice7_trace6,20190605\_slice7\_trace6
1,baseline,100,1000,2.70658156990074,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.40154860573219,3.79340562559484,29627,2962.7,2.9627,304,29628,2962.8,2.9628,-5.45214170949052,5.30189954017016,10.7540412496607,-20.380863423663,18.541906089116,38.922769512779,4315,2157,2960,2.96,20.2857142857143,21.6923076923077,21.6923076923077,292,289,14,13,13,3014,250,250,5460,5.46,2522.3,2.5223,0.879011294777663,0.911855277204683,0.957982893959531,0.566064299934057,340,340.000192228639,22.6666666666667,51,20190605_slice7_trace7,20190605\_slice7\_trace7
1,baseline,100,1000,2.70658156990074,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.37291907032179,3.71591745269821,29627,2962.7,2.9627,351,29633,2963.3,2.9633,-3.99394464178118,4.71764879824913,8.71159344003031,-17.2455414258409,15.9203934899565,33.1659349157974,5090,2545,2960,2.96,19.8235294117647,20.6875,20.6875,343,341,17,16,16,2962,255,255,5510,5.51,2572.3,2.5723,0.767373094262893,0.797992425641271,0.970725739777979,0.45102622979236,350,348.571352578832,23.3333333333333,52.5,20190605_slice7_trace8,20190605\_slice7\_trace8
1,baseline,100,1000,2.70658156990074,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38153787066048,3.73924493884957,29627,2962.7,2.9627,316,29638,2963.8,2.9638,-5.05059092154956,4.38274223370815,9.43333315525771,-17.7392486009959,13.3520858899859,31.0913344909818,5149,2574,2960,2.96,20.4666666666667,20.4666666666667,20.4666666666667,313,312,15,15,15,252,252,252,5480,5.48,2542.3,2.5423,0.806433056460633,0.864955632832827,0.948802466433124,0.502328216586214,340,346.000117063091,22.6666666666667,51,20190605_slice7_trace9,20190605\_slice7\_trace9
1,baseline,100,1000,2.70658156990074,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.3816896530722,3.73965575032777,29627,2962.7,2.9627,324,29643,2964.3,2.9643,-4.78048909453761,4.60759514311726,9.38808423765487,-16.7307124647239,15.554045356591,32.284757821315,5102,2551,2960,2.96,19.625,20.1333333333333,20.1333333333333,310,307,16,15,15,4455,251,251,5470,5.47,2532.3,2.5323,0.823829307779663,0.835839452363469,0.957059890875532,0.475345781577794,340,346.000255256136,22.6666666666667,51,20190605_slice7_trace10,20190605\_slice7\_trace10
1,baseline,100,1000,2.70658156990074,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.39716623204185,3.78154437373213,29627,2962.7,2.9627,320,29631,2963.1,2.9631,-4.40814345281673,5.59127463737517,9.9994180901919,-19.905916140559,18.4764648664123,38.3823810069713,3564,1782,2960,2.96,16.6111111111111,17.4705882352941,17.4705882352941,308,307,18,17,17,3061,304,304,6000,6,3062.3,3.0623,0.802893959514095,0.786494657925988,0.971428140325668,0.468274589214921,350,349.99958307861,23.3333333333333,52.5,20190605_slice7_trace11,20190605\_slice7\_trace11
1,baseline,100,1000,2.70658156990074,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38816045746934,3.75716951025151,29627,2962.7,2.9627,303,29635,2963.5,2.9635,-5.04029433554628,4.24574765135911,9.28604198690538,-14.0863638520547,14.8361219136216,28.9224857656764,4283,2141,2960,2.96,20.8571428571429,20.8571428571429,20.8571428571429,300,299,14,14,14,251,251,251,5470,5.47,2532.3,2.5323,0.711229671089507,0.738627184286365,0.974358749163898,0.438207705892175,340,346.666920386639,22.6666666666667,51,20190605_slice7_trace12,20190605\_slice7\_trace12
1,baseline,100,1000,2.70658156990074,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.37049059012132,3.70934457294476,29627,2962.7,2.9627,338,29632,2963.2,2.9632,-5.86182871315965,6.67233130772135,12.534160020881,-15.0488046827918,16.4556380362564,31.5044427190482,5665,2832,2960,2.96,21.7333333333333,21.9230769230769,21.9230769230769,293,291,15,13,13,4247,216,216,5120,5.12,2182.3,2.1823,0.821234440744863,0.858069840291378,0.968931786857386,0.455521509116671,340,343.33337727203,22.6666666666667,51,20190605_slice7_trace13,20190605\_slice7\_trace13
