phaseNumber,phaseName,filtFreq_1,filtFreq_2,signal2Noise,minDelayMs,binWidthMs,binWidthSec,filterWidthMs,minRelProm,minSpikeRateInBurstHz,minBurstLengthMs,maxInterBurstIntervalMs,maxInterBurstIntervalSec,resolutionMs,siMs,minTimeMs,maxTimeMs,siSeconds,minTimeSec,maxTimeSec,idxStimStart,stimStartMs,stimStartSec,baseWindow_1,baseWindow_2,baseSlopeNoise,slopeThreshold,idxDetectStart,detectStartMs,detectStartSec,nSpikesTotal,idxFirstSpike,firstSpikeMs,firstSpikeSec,vMin,vMax,vRange,slopeMin,slopeMax,slopeRange,nBins,halfNBins,histLeftMs,histLeftSec,nSpikesPerBurst,nSpikesPerBurstIn10s,nSpikesPerBurstInOsc,nSpikesIn10s,nSpikesInOsc,nBurstsTotal,nBurstsIn10s,nBurstsInOsc,iBinLastOfLastBurst,iBinLastOfLastBurstIn10s,iBinLastOfLastBurstInOsc,timeOscEndMs,timeOscEndSec,oscDurationMs,oscDurationSec,oscIndex1,oscIndex2,oscIndex3,oscIndex4,oscPeriod1Ms,oscPeriod2Ms,minOscPeriod2Bins,maxOscPeriod2Bins,figPathBase,figTitleBase
1,baseline,100,1000,2.41531743149753,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38266350912704,3.33957127549009,29627,2962.7,2.9627,215,29643,2964.3,2.9643,-4.21987714146163,4.25186186677379,8.47173900823542,-16.3014131516186,11.7106042661048,28.0120174177234,3889,1944,2960,2.96,11.3888888888889,11.3888888888889,11.3888888888889,214,213,18,18,18,532,532,532,8280,8.28,5342.3,5.3423,0.990991567635318,0.959305663236396,0.894707030896389,0.372504203117872,460,448.749801061572,30.6666666666667,69,20190604_slice7_trace1,20190604\_slice7\_trace1
1,baseline,100,1000,2.41531743149753,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38917505400548,3.35529872334095,29627,2962.7,2.9627,244,29634,2963.4,2.9634,-3.66993659549604,4.24354117204379,7.91347776753983,-14.2195230599391,10.7001347284557,24.9196577883948,3904,1952,2960,2.96,13.8235294117647,13.8235294117647,13.8235294117647,240,240,17,17,17,521,521,521,8170,8.17,5232.3,5.2323,0.986864791999053,0.968369685298676,0.877470324983564,0.453099897427508,460,459.999884567355,30.6666666666667,69,20190604_slice7_trace2,20190604\_slice7\_trace2
1,baseline,100,1000,2.41531743149753,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.39015379156578,3.3576626852312,29627,2962.7,2.9627,211,29645,2964.5,2.9645,-3.80786169864914,5.04325922586432,8.85112092451345,-15.6990798177744,10.3001240139546,25.999203831729,5077,2538,2960,2.96,8.20833333333333,8.72727272727273,8.72727272727273,202,201,24,22,22,5077,515,515,8110,8.11,5172.3,5.1723,0.99399705267667,0.980375751756365,0.905343744534906,0.377225727662142,450,461.000098712226,30,67.5,20190604_slice7_trace3,20190604\_slice7\_trace3
1,baseline,100,1000,2.41531743149753,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38941122538637,3.35586915219405,29627,2962.7,2.9627,219,29644,2964.4,2.9644,-4.10907538273533,5.30149397715032,9.41056935988565,-17.4513356332762,13.0650773722798,30.516413005556,2475,1237,2960,2.96,10.75,11.2105263157895,11.2105263157895,217,217,20,19,19,2475,487,487,7830,7.83,4892.3,4.8923,1,0.997941628038689,0.606299064290551,0.41052892514127,460,544.2856125826,30.6666666666667,69,20190604_slice7_trace4,20190604\_slice7\_trace4
1,baseline,100,1000,2.41531743149753,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38950449512022,3.35609442820803,29627,2962.7,2.9627,242,29640,2964,2.964,-5.15466723726368,4.48197279479265,9.63664003205633,-17.5163145259213,10.1099984362382,27.6263129621595,4160,2080,2960,2.96,9.82608695652174,10.5238095238095,10.5238095238095,232,232,23,21,21,2317,657,657,9530,9.53,6592.3,6.5923,0.988332163019259,0.962271260851908,0.883898264555026,0.440958568640044,490,472.000067383391,32.6666666666667,73.5,20190604_slice7_trace5,20190604\_slice7\_trace5
1,baseline,100,1000,2.41531743149753,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.38775133687419,3.35185999453624,29627,2962.7,2.9627,298,29644,2964.4,2.9644,-4.9352994789833,6.15162379522782,11.0869232742111,-22.102690129123,15.6770566971397,37.7797468262627,5562,2781,2960,2.96,10.6296296296296,10.8461538461538,10.8461538461538,288,286,27,26,26,4692,587,587,8830,8.83,5892.3,5.8923,0.998822827649635,0.978878859777395,0.889807113040412,0.429835132432684,480,471.428609240367,32,72,20190604_slice7_trace6,20190604\_slice7\_trace6
1,baseline,100,1000,2.41531743149753,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.40066800815926,3.38305785584798,29627,2962.7,2.9627,240,29630,2963,2.963,-4.55546230832291,4.79600480853388,9.35146711685678,-14.7711129900533,11.224828678674,25.9959416687272,2559,1279,2960,2.96,12.8888888888889,12.8888888888889,12.8888888888889,238,237,18,18,18,436,436,436,7320,7.32,4382.3,4.3823,0.999792739501077,0.99319335201635,0.898304851281102,0.514609609158843,460,471.999899976577,30.6666666666667,69,20190604_slice7_trace7,20190604\_slice7\_trace7
1,baseline,100,1000,2.41531743149753,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.3938327576093,3.366548556046,29627,2962.7,2.9627,277,29636,2963.6,2.9636,-4.0035462615063,5.70416733429752,9.70771359580382,-14.1920207676789,11.4046089496022,25.5966297172812,4203,2101,2960,2.96,10.7083333333333,10.7083333333333,10.7083333333333,272,271,24,24,24,681,681,681,9770,9.77,6832.3,6.8323,0.99623604478544,0.958351409660909,0.949537838780358,0.480454538646716,460,468.999773459182,30.6666666666667,69,20190604_slice7_trace8,20190604\_slice7\_trace8
1,baseline,100,1000,2.41531743149753,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.39321255019071,3.36505055825673,29627,2962.7,2.9627,251,29640,2964,2.964,-4.01781657918587,4.61481968917878,8.63263626836465,-16.5846052712116,13.0692724902802,29.6538777614918,3545,1772,2960,2.96,10.4347826086957,10.4347826086957,10.4347826086957,249,249,23,23,23,613,613,613,9090,9.09,6152.3,6.1523,0.994034568762984,0.954906279697692,0.567313508540335,0.410141354490007,480,556.249930525149,32,72,20190604_slice7_trace9,20190604\_slice7\_trace9
1,baseline,100,1000,2.41531743149753,25,10,0.01,100,0.02,100,20,2000,2,5,0.0999999999999999,0.0999999999999999,59999.9999999999,9.99999999999999e-05,9.99999999999999e-05,59.9999999999999,29377,2937.7,2.9377,0.0999999999999999,2937.7,1.39055297425897,3.35862683814841,29627,2962.7,2.9627,246,29633,2963.3,2.9633,-4.38115381670507,5.14808744711241,9.52924126381747,-16.386302748244,13.012724768037,29.399027516281,3448,1724,2960,2.96,10.6818181818182,11.0952380952381,11.0952380952381,242,242,22,21,21,3009,540,540,8360,8.36,5422.3,5.4223,0.988898062833084,0.993767010952617,0.964705367424688,0.423434100618192,470,481.666807213514,31.3333333333333,70.5,20190604_slice7_trace10,20190604\_slice7\_trace10
