Time,nBurstsTotal_20190603_slice7,phaseNumber_20190603_slice7,nBurstsTotal_20190603_slice9,phaseNumber_20190603_slice9,nBurstsTotal_20190604_slice2,phaseNumber_20190604_slice2,nBurstsTotal_20190604_slice3,phaseNumber_20190604_slice3,nBurstsTotal_20190604_slice4,phaseNumber_20190604_slice4,nBurstsTotal_20190604_slice7,phaseNumber_20190604_slice7,nBurstsTotal_20190606_slice1,phaseNumber_20190606_slice1,nBurstsTotal_20190606_slice2,phaseNumber_20190606_slice2,nBurstsTotal_20190606_slice3,phaseNumber_20190606_slice3,nBurstsTotal_20190607_slice4,phaseNumber_20190607_slice4
-20 min,36,1,14,1,41,1,27,1,17,1,18,1,22,1,30,1,17,1,18,1
-19 min,38,1,11,1,38,1,21,1,27,1,17,1,21,1,29,1,31,1,18,1
-18 min,38,1,15,1,20,1,32,1,27,1,24,1,21,1,27,1,23,1,13,1
-17 min,46,1,14,1,20,1,29,1,38,1,20,1,36,1,28,1,24,1,19,1
-16 min,41,1,12,1,28,1,31,1,29,1,23,1,58,1,27,1,31,1,15,1
-15 min,45,1,11,1,24,1,26,1,31,1,27,1,22,1,29,1,21,1,16,1
-14 min,49,1,11,1,25,1,8,1,30,1,18,1,18,1,28,1,19,1,14,1
-13 min,50,1,12,1,28,1,30,1,35,1,24,1,21,1,24,1,25,1,19,1
-12 min,33,1,10,1,30,1,30,1,27,1,23,1,27,1,27,1,27,1,22,1
-11 min,28,1,12,1,20,1,23,1,44,1,22,1,19,1,22,1,21,1,16,1
-10 min,37,1,10,1,28,1,18,1,21,1,19,1,22,1,26,1,34,1,30,1
-9 min,41,1,11,1,21,1,41,1,32,1,22,1,20,1,25,1,20,1,28,1
-8 min,27,1,11,1,22,1,19,1,30,1,23,1,34,1,26,1,18,1,29,1
-7 min,38,1,16,1,31,1,21,1,44,1,38,1,46,1,25,1,17,1,22,1
-6 min,39,1,11,1,22,1,29,1,19,1,15,1,21,1,19,1,18,1,29,1
-5 min,37,1,15,1,32,1,21,1,32,1,19,1,26,1,21,1,24,1,24,1
-4 min,28,1,14,1,31,1,20,1,25,1,21,1,21,1,27,1,17,1,23,1
-3 min,32,1,10,1,27,1,26,1,32,1,17,1,17,1,23,1,24,1,24,1
-2 min,37,1,10,1,24,1,20,1,22,1,15,1,26,1,22,1,23,1,33,1
-1 min,34,1,14,1,25,1,24,1,27,1,20,1,17,1,21,1,23,1,34,1
0 min,42,2,10,2,21,2,20,2,22,2,17,2,20,2,21,2,25,2,25,2
1 min,33,2,15,2,24,2,23,2,22,2,19,2,26,2,26,2,20,2,24,2
