Time,nSpikesIn10s_20190603_slice7,phaseNumber_20190603_slice7,nSpikesIn10s_20190603_slice9,phaseNumber_20190603_slice9,nSpikesIn10s_20190604_slice2,phaseNumber_20190604_slice2,nSpikesIn10s_20190604_slice3,phaseNumber_20190604_slice3,nSpikesIn10s_20190604_slice4,phaseNumber_20190604_slice4,nSpikesIn10s_20190604_slice7,phaseNumber_20190604_slice7,nSpikesIn10s_20190606_slice1,phaseNumber_20190606_slice1,nSpikesIn10s_20190606_slice2,phaseNumber_20190606_slice2,nSpikesIn10s_20190606_slice3,phaseNumber_20190606_slice3,nSpikesIn10s_20190607_slice4,phaseNumber_20190607_slice4
-20 min,461,1,113,1,507,1,443,1,234,1,214,1,281,1,535,1,229,1,86,1
-19 min,483,1,85,1,267,1,443,1,273,1,240,1,282,1,513,1,347,1,108,1
-18 min,420,1,102,1,97,1,420,1,231,1,202,1,306,1,488,1,282,1,102,1
-17 min,390,1,95,1,184,1,410,1,232,1,217,1,325,1,544,1,229,1,115,1
-16 min,514,1,92,1,316,1,462,1,321,1,232,1,555,1,475,1,419,1,115,1
-15 min,419,1,108,1,187,1,221,1,370,1,288,1,325,1,473,1,258,1,122,1
-14 min,413,1,99,1,193,1,74,1,331,1,238,1,316,1,441,1,263,1,141,1
-13 min,433,1,86,1,201,1,518,1,302,1,272,1,259,1,489,1,287,1,126,1
-12 min,407,1,88,1,185,1,370,1,270,1,249,1,277,1,465,1,287,1,145,1
-11 min,398,1,109,1,166,1,217,1,347,1,242,1,314,1,442,1,261,1,121,1
-10 min,495,1,99,1,251,1,194,1,242,1,244,1,307,1,436,1,354,1,199,1
-9 min,448,1,87,1,219,1,394,1,224,1,277,1,285,1,425,1,222,1,182,1
-8 min,294,1,87,1,245,1,253,1,334,1,276,1,346,1,459,1,263,1,234,1
-7 min,458,1,108,1,242,1,300,1,376,1,239,1,403,1,427,1,269,1,180,1
-6 min,537,1,79,1,183,1,355,1,241,1,182,1,345,1,376,1,259,1,215,1
-5 min,495,1,78,1,263,1,289,1,322,1,248,1,338,1,393,1,289,1,160,1
-4 min,496,1,99,1,268,1,213,1,273,1,306,1,375,1,426,1,226,1,189,1
-3 min,411,1,114,1,226,1,237,1,374,1,294,1,331,1,442,1,208,1,199,1
-2 min,398,1,78,1,203,1,187,1,375,1,221,1,318,1,372,1,214,1,294,1
-1 min,465,1,100,1,224,1,289,1,315,1,257,1,336,1,439,1,226,1,246,1
0 min,354,2,104,2,230,2,260,2,292,2,305,2,318,2,359,2,319,2,192,2
1 min,412,2,86,2,217,2,280,2,426,2,255,2,301,2,453,2,228,2,206,2
2 min,497,2,112,2,204,2,222,2,302,2,271,2,328,2,279,2,268,2,230,2
3 min,413,2,86,2,188,2,202,2,346,2,301,2,305,2,404,2,190,2,243,2
4 min,436,2,116,2,196,2,261,2,373,2,221,2,325,2,412,2,251,2,238,2
5 min,493,2,104,2,9,2,151,2,335,2,301,2,334,2,465,2,216,2,258,2
6 min,370,2,106,2,233,2,241,2,237,2,294,2,394,2,454,2,274,2,225,2
7 min,358,2,95,2,253,2,236,2,256,2,252,2,337,2,388,2,160,2,278,2
8 min,426,2,132,2,270,2,231,2,264,2,250,2,361,2,431,2,165,2,284,2
9 min,419,2,100,2,266,2,187,2,370,2,226,2,371,2,405,2,170,2,278,2
10 min,404,2,85,2,205,2,181,2,372,2,259,2,131,2,429,2,172,2,326,2
11 min,354,2,120,2,205,2,251,2,326,2,248,2,337,2,416,2,282,2,268,2
12 min,314,2,110,2,232,2,109,2,310,2,248,2,352,2,437,2,170,2,371,2
13 min,260,2,97,2,220,2,175,2,347,2,246,2,429,2,375,2,193,2,291,2
14 min,342,2,90,2,217,2,211,2,397,2,209,2,353,2,339,2,188,2,333,2
15 min,325,2,112,2,245,2,246,2,302,2,231,2,356,2,430,2,212,2,374,2
16 min,371,2,109,2,214,2,202,2,317,2,211,2,358,2,401,2,193,2,359,2
17 min,416,2,92,2,124,2,175,2,379,2,228,2,403,2,409,2,188,2,379,2
18 min,422,2,87,2,282,2,143,2,300,2,204,2,358,2,319,2,179,2,375,2
19 min,429,2,121,2,245,2,246,2,264,2,229,2,417,2,373,2,171,2,348,2
20 min,364,2,93,2,44,2,203,2,398,2,236,2,460,2,335,2,213,2,357,2
21 min,438,2,118,2,202,2,244,2,317,2,208,2,390,2,421,2,228,2,361,2
22 min,381,2,80,2,29,2,179,2,361,2,216,2,429,2,316,2,286,2,364,2
23 min,354,2,97,2,179,2,187,2,314,2,243,2,417,2,375,2,174,2,438,2
24 min,374,2,106,2,185,2,209,2,253,2,189,2,463,2,239,2,208,2,383,2
25 min,423,2,103,2,207,2,189,2,342,2,247,2,428,2,404,2,212,2,387,2
26 min,445,2,110,2,186,2,223,2,266,2,200,2,471,2,380,2,222,2,433,2
27 min,350,2,101,2,221,2,165,2,238,2,204,2,415,2,416,2,195,2,394,2
28 min,396,2,100,2,199,2,228,2,379,2,234,2,419,2,431,2,309,2,347,2
29 min,459,2,90,2,165,2,189,2,345,2,170,2,473,2,379,2,167,2,418,2
30 min,403,3,128,3,182,3,204,3,245,3,184,3,453,3,401,3,172,3,444,3
31 min,431,3,108,3,163,3,218,3,243,3,169,3,478,3,407,3,190,3,421,3
32 min,466,3,71,3,94,3,191,3,265,3,177,3,481,3,421,3,360,3,430,3
33 min,375,3,69,3,176,3,182,3,249,3,212,3,529,3,418,3,222,3,424,3
34 min,432,3,80,3,202,3,168,3,229,3,234,3,520,3,386,3,187,3,380,3
35 min,394,3,71,3,81,3,221,3,360,3,202,3,492,3,414,3,213,3,412,3
36 min,376,3,83,3,190,3,175,3,322,3,211,3,543,3,368,3,190,3,385,3
37 min,349,3,97,3,122,3,208,3,386,3,180,3,510,3,385,3,178,3,397,3
38 min,337,3,104,3,153,3,165,3,247,3,216,3,562,3,316,3,261,3,414,3
39 min,323,3,91,3,93,3,173,3,383,3,164,3,585,3,485,3,160,3,415,3
40 min,357,3,97,3,158,3,200,3,307,3,196,3,550,3,0,3,240,3,328,3
41 min,401,3,96,3,143,3,152,3,287,3,192,3,594,3,25,3,160,3,354,3
42 min,453,3,91,3,121,3,250,3,335,3,190,3,615,3,61,3,173,3,379,3
43 min,405,3,78,3,118,3,224,3,232,3,185,3,638,3,136,3,227,3,385,3
44 min,422,3,88,3,135,3,180,3,346,3,157,3,650,3,267,3,140,3,378,3
45 min,389,3,85,3,165,3,232,3,266,3,203,3,654,3,354,3,163,3,324,3
46 min,344,3,92,3,119,3,191,3,209,3,179,3,668,3,426,3,169,3,454,3
47 min,425,3,102,3,137,3,132,3,300,3,144,3,659,3,517,3,166,3,462,3
48 min,336,3,81,3,124,3,51,3,250,3,161,3,628,3,558,3,197,3,373,3
49 min,460,3,103,3,114,3,138,3,307,3,182,3,644,3,497,3,142,3,436,3
