Time,nSpikesInOsc_20190603_slice7,phaseNumber_20190603_slice7,nSpikesInOsc_20190603_slice9,phaseNumber_20190603_slice9,nSpikesInOsc_20190604_slice2,phaseNumber_20190604_slice2,nSpikesInOsc_20190604_slice3,phaseNumber_20190604_slice3,nSpikesInOsc_20190604_slice4,phaseNumber_20190604_slice4,nSpikesInOsc_20190604_slice7,phaseNumber_20190604_slice7,nSpikesInOsc_20190606_slice1,phaseNumber_20190606_slice1,nSpikesInOsc_20190606_slice2,phaseNumber_20190606_slice2,nSpikesInOsc_20190606_slice3,phaseNumber_20190606_slice3,nSpikesInOsc_20190607_slice4,phaseNumber_20190607_slice4
-20 min,458,1,110,1,504,1,440,1,229,1,213,1,274,1,534,1,224,1,84,1
-19 min,482,1,77,1,264,1,439,1,271,1,240,1,274,1,513,1,346,1,106,1
-18 min,420,1,94,1,95,1,418,1,227,1,201,1,306,1,486,1,279,1,102,1
-17 min,387,1,90,1,165,1,402,1,231,1,217,1,324,1,544,1,227,1,115,1
-16 min,509,1,87,1,311,1,457,1,319,1,232,1,555,1,475,1,415,1,115,1
-15 min,417,1,108,1,182,1,214,1,369,1,286,1,325,1,472,1,257,1,122,1
-14 min,411,1,96,1,191,1,71,1,331,1,237,1,316,1,440,1,262,1,140,1
-13 min,431,1,82,1,198,1,516,1,302,1,271,1,259,1,488,1,281,1,125,1
-12 min,400,1,83,1,183,1,364,1,270,1,249,1,277,1,465,1,283,1,144,1
-11 min,388,1,107,1,164,1,214,1,346,1,242,1,311,1,442,1,254,1,120,1
-10 min,494,1,93,1,246,1,188,1,238,1,244,1,307,1,436,1,351,1,199,1
-9 min,441,1,80,1,218,1,392,1,223,1,277,1,284,1,424,1,222,1,180,1
-8 min,287,1,83,1,244,1,245,1,328,1,275,1,330,1,455,1,261,1,234,1
-7 min,458,1,104,1,240,1,295,1,376,1,236,1,393,1,425,1,268,1,180,1
-6 min,552,1,73,1,180,1,353,1,241,1,181,1,338,1,376,1,258,1,215,1
-5 min,491,1,71,1,263,1,288,1,322,1,247,1,331,1,393,1,287,1,160,1
-4 min,493,1,97,1,266,1,210,1,272,1,305,1,341,1,426,1,226,1,187,1
-3 min,400,1,111,1,214,1,235,1,373,1,292,1,297,1,442,1,206,1,198,1
-2 min,383,1,74,1,202,1,187,1,374,1,221,1,299,1,371,1,214,1,294,1
-1 min,457,1,98,1,221,1,288,1,315,1,257,1,322,1,439,1,223,1,246,1
0 min,346,2,96,2,228,2,256,2,292,2,305,2,308,2,358,2,319,2,192,2
1 min,395,2,86,2,214,2,278,2,424,2,252,2,287,2,452,2,227,2,199,2
2 min,503,2,107,2,198,2,219,2,300,2,270,2,320,2,274,2,268,2,230,2
3 min,401,2,84,2,188,2,199,2,346,2,301,2,290,2,401,2,189,2,243,2
4 min,420,2,111,2,195,2,259,2,373,2,219,2,315,2,410,2,249,2,237,2
5 min,486,2,102,2,9,2,148,2,334,2,301,2,326,2,463,2,216,2,258,2
6 min,350,2,105,2,227,2,241,2,230,2,293,2,388,2,454,2,273,2,224,2
7 min,341,2,94,2,249,2,234,2,255,2,252,2,331,2,388,2,160,2,277,2
8 min,411,2,128,2,269,2,229,2,261,2,249,2,354,2,428,2,165,2,284,2
9 min,408,2,100,2,261,2,185,2,367,2,224,2,367,2,401,2,170,2,275,2
10 min,385,2,82,2,203,2,179,2,369,2,254,2,129,2,427,2,167,2,326,2
11 min,336,2,116,2,196,2,251,2,326,2,248,2,331,2,412,2,282,2,266,2
12 min,311,2,108,2,228,2,108,2,310,2,244,2,350,2,436,2,168,2,369,2
13 min,246,2,93,2,218,2,171,2,345,2,241,2,403,2,373,2,193,2,291,2
14 min,316,2,90,2,216,2,208,2,397,2,209,2,352,2,333,2,188,2,332,2
15 min,307,2,109,2,244,2,243,2,302,2,224,2,350,2,427,2,212,2,374,2
16 min,353,2,106,2,211,2,201,2,316,2,211,2,349,2,397,2,193,2,359,2
17 min,384,2,92,2,119,2,174,2,378,2,228,2,400,2,405,2,188,2,379,2
18 min,393,2,84,2,276,2,143,2,298,2,202,2,355,2,318,2,179,2,371,2
19 min,403,2,116,2,245,2,243,2,261,2,225,2,414,2,373,2,169,2,348,2
