Time,nSpikesPerBurstIn10s_20190603_slice7,phaseNumber_20190603_slice7,nSpikesPerBurstIn10s_20190603_slice9,phaseNumber_20190603_slice9,nSpikesPerBurstIn10s_20190604_slice2,phaseNumber_20190604_slice2,nSpikesPerBurstIn10s_20190604_slice3,phaseNumber_20190604_slice3,nSpikesPerBurstIn10s_20190604_slice4,phaseNumber_20190604_slice4,nSpikesPerBurstIn10s_20190604_slice7,phaseNumber_20190604_slice7,nSpikesPerBurstIn10s_20190606_slice1,phaseNumber_20190606_slice1,nSpikesPerBurstIn10s_20190606_slice2,phaseNumber_20190606_slice2,nSpikesPerBurstIn10s_20190606_slice3,phaseNumber_20190606_slice3,nSpikesPerBurstIn10s_20190607_slice4,phaseNumber_20190607_slice4
-20 min,13,1,7.28571428571429,1,17.4074074074074,1,15.2222222222222,1,13.25,1,11.3888888888889,1,12.7619047619048,1,17.3,1,12.8235294117647,1,6.75,1
-19 min,13.1714285714286,1,6.36363636363636,1,11.9,1,19.952380952381,1,9.62962962962963,1,13.8235294117647,1,13.4,1,17.1724137931034,1,10.6129032258065,1,6.125,1
-18 min,12.030303030303,1,6.14285714285714,1,4.05,1,12.5806451612903,1,9.30434782608696,1,8.72727272727273,1,14.0952380952381,1,18.88,1,12.0909090909091,1,7.69230769230769,1
-17 min,9.6578947368421,1,6.30769230769231,1,8.4,1,16,1,7.55172413793103,1,11.2105263157895,1,13.4347826086957,1,19.4444444444444,1,9.95454545454546,1,7.76923076923077,1
-16 min,16.1,1,6.5,1,10.3703703703704,1,13.9354838709677,1,10.2413793103448,1,10.5238095238095,1,11.8,1,18.36,1,12.9354838709677,1,6.86666666666667,1
-15 min,11.0833333333333,1,9.36363636363636,1,6.91666666666667,1,9.42857142857143,1,11.1290322580645,1,10.8461538461538,1,14.4090909090909,1,15.7241379310345,1,11.4761904761905,1,7.0625,1
-14 min,9.36585365853658,1,7.54545454545455,1,7.16666666666667,1,8.625,1,11.25,1,12.8888888888889,1,17,1,14.9642857142857,1,13.3157894736842,1,9.84615384615385,1
-13 min,11.9117647058824,1,6.16666666666667,1,6.21428571428571,1,16.3,1,8,1,10.7083333333333,1,12.3,1,21.4545454545455,1,11.4166666666667,1,6.38888888888889,1
-12 min,13.1034482758621,1,7.6,1,5.51724137931035,1,12.0689655172414,1,9.5,1,10.4347826086957,1,10.4,1,17.2692307692308,1,11.695652173913,1,5.77272727272727,1
-11 min,15,1,9,1,7.5,1,8.26086956521739,1,7.59523809523809,1,11.0952380952381,1,15.5263157894737,1,19.6818181818182,1,11.6666666666667,1,6.93333333333333,1
-10 min,14.9354838709677,1,8.2,1,7.96428571428571,1,9.61111111111111,1,10.6666666666667,1,12.5789473684211,1,13.2272727272727,1,16.0769230769231,1,9.91176470588235,1,6.24137931034483,1
-9 min,12.4848484848485,1,7.4,1,8.95238095238095,1,9.56410256410256,1,7.32142857142857,1,12.7619047619048,1,14.3684210526316,1,16.44,1,10.8,1,6.5,1
-8 min,12.4545454545455,1,6.45454545454545,1,10.2727272727273,1,11.8421052631579,1,13.7727272727273,1,11.6521739130435,1,12.2,1,18.125,1,13.6111111111111,1,7.82142857142857,1
-7 min,13.4375,1,6.26666666666667,1,6.7741935483871,1,13.0952380952381,1,13.2222222222222,1,14.375,1,29.6923076923077,1,17.0416666666667,1,15.75,1,7.31818181818182,1
-6 min,15.625,1,5.72727272727273,1,7.54545454545455,1,11.2413793103448,1,12.5555555555556,1,11.8,1,20.3125,1,20.2777777777778,1,14.8235294117647,1,7.44444444444444,1
-5 min,14.5483870967742,1,4.26666666666667,1,7.87096774193548,1,12.3333333333333,1,14.0952380952381,1,12.5263157894737,1,13.2916666666667,1,18.047619047619,1,11.6666666666667,1,6.47826086956522,1
-4 min,18.8,1,8.7,1,8,1,9.7,1,10.7916666666667,1,14.1428571428571,1,16.6842105263158,1,15.2962962962963,1,13.25,1,8,1
-3 min,13.5,1,10.1,1,7.96,1,8.38461538461539,1,11.375,1,16.6470588235294,1,16.8125,1,18.4782608695652,1,8.20833333333333,1,7.73913043478261,1
-2 min,12.0333333333333,1,7,1,7.54166666666667,1,8.75,1,16.3181818181818,1,14.2666666666667,1,12.1304347826087,1,16.5454545454545,1,9.18181818181818,1,8.5,1
-1 min,15.3928571428571,1,6.42857142857143,1,7.88,1,11.7391304347826,1,11.3333333333333,1,12.35,1,22.2142857142857,1,21.35,1,9.17391304347826,1,7.18181818181818,1
0 min,11.2413793103448,2,9,2,9.71428571428571,2,12.3157894736842,2,12.6363636363636,2,17.4117647058824,2,15,2,16.2857142857143,2,12.08,2,8.42857142857143,2
1 min,13.6296296296296,2,6.08333333333333,2,8.78260869565217,2,11.3913043478261,2,18.8636363636364,2,12.7368421052632,2,11.4166666666667,2,18.375,2,11,2,7.91666666666667,2
2 min,15.6551724137931,2,5.77777777777778,2,7.19230769230769,2,9.71428571428571,2,16.8823529411765,2,16.4375,2,15.15,2,11.7391304347826,2,9.44444444444444,2,8.56,2
3 min,13.3214285714286,2,4.375,2,8.15,2,11.6875,2,15.6666666666667,2,16.8823529411765,2,19.6428571428571,2,19.5,2,9.42105263157895,2,7.8,2
4 min,11.7058823529412,2,10.6,2,8.15,2,11.0454545454545,2,13.037037037037,2,11.3684210526316,2,15.8421052631579,2,15.1538461538462,2,10.2173913043478,2,7.96296296296296,2
5 min,14.030303030303,2,6.2,2,4,2,8.3125,2,13.6521739130435,2,18.3125,2,13.9090909090909,2,17.76,2,14.4285714285714,2,12.4,2
6 min,13.16,2,9.3,2,7.42857142857143,2,9.16666666666667,2,19.7272727272727,2,19,2,15.25,2,17.48,2,9.39285714285714,2,8.4,2
7 min,12.8,2,7.25,2,8.65384615384615,2,11,2,15.0625,2,16.4,2,23.0714285714286,2,15.5833333333333,2,8.22222222222222,2,12,2
8 min,14.8846153846154,2,7.86666666666667,2,7.9375,2,12.6470588235294,2,14.7647058823529,2,14.8125,2,15.952380952381,2,18.1304347826087,2,11.7692307692308,2,13.25,2
9 min,12.0645161290323,2,9.3,2,8.37931034482759,2,11,2,13.5384615384615,2,21.8,2,23.4666666666667,2,15.44,2,7.28571428571429,2,11.304347826087,2
