Time,nSpikesPerBurst_20190603_slice7,phaseNumber_20190603_slice7,nSpikesPerBurst_20190603_slice9,phaseNumber_20190603_slice9,nSpikesPerBurst_20190604_slice2,phaseNumber_20190604_slice2,nSpikesPerBurst_20190604_slice3,phaseNumber_20190604_slice3,nSpikesPerBurst_20190604_slice4,phaseNumber_20190604_slice4,nSpikesPerBurst_20190604_slice7,phaseNumber_20190604_slice7,nSpikesPerBurst_20190606_slice1,phaseNumber_20190606_slice1,nSpikesPerBurst_20190606_slice2,phaseNumber_20190606_slice2,nSpikesPerBurst_20190606_slice3,phaseNumber_20190606_slice3,nSpikesPerBurst_20190607_slice4,phaseNumber_20190607_slice4
-20 min,12.1111111111111,1,7.28571428571429,1,12.1463414634146,1,15.2222222222222,1,12.5882352941176,1,11.3888888888889,1,12.2727272727273,1,17.3,1,12.8235294117647,1,5.27777777777778,1
-19 min,12.5789473684211,1,6.36363636363636,1,8.68421052631579,1,19.952380952381,1,9.62962962962963,1,13.8235294117647,1,12.8571428571429,1,17.1724137931034,1,10.6129032258065,1,5.72222222222222,1
-18 min,10.9210526315789,1,5.86666666666667,1,4.05,1,12.25,1,8.44444444444444,1,8.20833333333333,1,14.0952380952381,1,17.6666666666667,1,11.7391304347826,1,7.69230769230769,1
-17 min,8.8695652173913,1,6.28571428571429,1,8.4,1,13.6206896551724,1,6.52631578947368,1,10.75,1,11.0555555555556,1,19.0357142857143,1,9.33333333333333,1,6.10526315789474,1
-16 min,12.8292682926829,1,6.5,1,10.1428571428571,1,13.9354838709677,1,10.2413793103448,1,9.82608695652174,1,11.3620689655172,1,17.1851851851852,1,12.9354838709677,1,6.86666666666667,1
-15 min,9.55555555555556,1,9.36363636363636,1,6.91666666666667,1,8.15384615384615,1,11.1290322580645,1,10.6296296296296,1,14.4090909090909,1,15.7241379310345,1,11.4761904761905,1,7.0625,1
-14 min,8.30612244897959,1,7.54545454545455,1,6.96,1,8.625,1,10.6666666666667,1,12.8888888888889,1,17,1,14.9642857142857,1,13.3157894736842,1,9.5,1
-13 min,11.1,1,6.16666666666667,1,6.21428571428571,1,16.3,1,8,1,10.7083333333333,1,11.8095238095238,1,20.2083333333333,1,11.08,1,6.15789473684211,1
-12 min,11.7575757575758,1,7.6,1,5.4,1,11.8,1,9.22222222222222,1,10.4347826086957,1,9.85185185185185,1,16.7037037037037,1,10.2962962962963,1,5.77272727272727,1
-11 min,13.3928571428571,1,8.5,1,7.5,1,8.26086956521739,1,7.38636363636364,1,10.6818181818182,1,15.5263157894737,1,19.6818181818182,1,11.6666666666667,1,6.625,1
-10 min,12.8648648648649,1,8.2,1,7.96428571428571,1,9.61111111111111,1,10.6666666666667,1,12.5789473684211,1,13.2272727272727,1,16.0769230769231,1,9.91176470588235,1,6.1,1
-9 min,10.5609756097561,1,7.09090909090909,1,8.95238095238095,1,9.31707317073171,1,6.75,1,12.3181818181818,1,13.8,1,16.44,1,10.8,1,6.21428571428571,1
-8 min,10.5925925925926,1,6.45454545454545,1,10.2727272727273,1,11.8421052631579,1,10.8333333333333,1,11.6521739130435,1,9.55882352941176,1,16.8846153846154,1,13.6111111111111,1,7.62068965517241,1
