Time,oscDurationSec_20190603_slice7,phaseNumber_20190603_slice7,oscDurationSec_20190603_slice9,phaseNumber_20190603_slice9,oscDurationSec_20190604_slice2,phaseNumber_20190604_slice2,oscDurationSec_20190604_slice3,phaseNumber_20190604_slice3,oscDurationSec_20190604_slice4,phaseNumber_20190604_slice4,oscDurationSec_20190604_slice7,phaseNumber_20190604_slice7,oscDurationSec_20190606_slice1,phaseNumber_20190606_slice1,oscDurationSec_20190606_slice2,phaseNumber_20190606_slice2,oscDurationSec_20190606_slice3,phaseNumber_20190606_slice3,oscDurationSec_20190607_slice4,phaseNumber_20190607_slice4
-20 min,9.1023,1,1.8523,1,8.9223,1,6.5823,1,5.7523,1,5.3423,1,4.9323,1,8.6323,1,4.1223,1,2.6323,1
-19 min,7.8623,1,1.4723,1,8.1023,1,5.9523,1,6.7523,1,5.2323,1,3.5323,1,7.5523,1,9.0523,1,3.6223,1
-18 min,7.5923,1,1.4923,1,5.1023,1,6.5623,1,5.0323,1,5.1723,1,5.4423,1,7.1823,1,5.1123,1,5.6723,1
-17 min,7.4123,1,1.8723,1,4.0123,1,6.5323,1,5.5223,1,4.8923,1,8.7323,1,7.5323,1,4.1523,1,6.2323,1
-16 min,8.0623,1,1.9823,1,9.1023,1,7.1723,1,7.8723,1,6.5923,1,7.5123,1,7.6823,1,8.7723,1,5.4323,1
-15 min,8.6323,1,2.0523,1,6.7223,1,3.4223,1,7.3023,1,5.8923,1,4.8423,1,7.1323,1,5.1823,1,4.7823,1
-14 min,8.1623,1,2.0223,1,7.2723,1,2.1923,1,7.3023,1,4.3823,1,5.7923,1,6.9323,1,4.2723,1,6.3723,1
-13 min,8.9923,1,2.1223,1,8.1523,1,7.0723,1,6.8823,1,6.8323,1,3.9323,1,6.7723,1,5.3823,1,4.7223,1
-12 min,7.5323,1,1.9023,1,7.6523,1,5.4523,1,6.5323,1,6.1523,1,5.7523,1,6.7923,1,4.7223,1,7.9323,1
-11 min,6.7023,1,2.0623,1,7.2823,1,4.9223,1,7.2023,1,5.4223,1,4.7923,1,6.3023,1,4.1423,1,5.8723,1
-10 min,9.8223,1,1.5923,1,8.8523,1,2.9923,1,4.3823,1,4.9623,1,5.6223,1,6.4123,1,8.2123,1,9.8023,1
-9 min,7.3723,1,1.9623,1,9.5923,1,7.1423,1,5.5123,1,5.4223,1,5.7123,1,6.2823,1,4.5523,1,8.5623,1
-8 min,5.2023,1,1.8723,1,7.6223,1,4.4123,1,6.2923,1,5.2723,1,5.7623,1,6.4923,1,4.6923,1,9.2323,1
-7 min,8.1523,1,2.3023,1,8.2823,1,5.4123,1,7.4723,1,4.3423,1,3.4823,1,6.5823,1,4.7323,1,8.6923,1
-6 min,10.6723,1,1.6823,1,6.1423,1,6.6423,1,4.2123,1,3.4823,1,4.3423,1,5.1423,1,4.4623,1,8.1523,1
-5 min,8.2323,1,1.9723,1,9.8023,1,5.2923,1,5.9223,1,5.4523,1,4.4523,1,6.0123,1,5.5023,1,6.8323,1
-4 min,7.5023,1,2.2323,1,8.8123,1,4.9923,1,6.8023,1,5.3823,1,4.7123,1,6.0823,1,5.3223,1,6.5423,1
-3 min,6.3923,1,2.0523,1,6.5323,1,4.9023,1,6.8623,1,4.9423,1,4.3123,1,6.1223,1,4.3023,1,7.0923,1
-2 min,6.3723,1,2.0723,1,7.8323,1,4.7223,1,6.2523,1,4.5323,1,5.1723,1,5.1423,1,4.2123,1,8.6223,1
-1 min,7.2923,1,1.8923,1,7.5523,1,5.9223,1,6.3023,1,5.0223,1,4.2923,1,6.0023,1,4.8023,1,9.5523,1
0 min,5.9223,2,1.8423,2,7.6423,2,5.8423,2,4.6423,2,5.5623,2,5.1323,2,5.0623,2,7.2123,2,7.0223,2
1 min,6.2223,2,2.6023,2,6.4623,2,5.9223,2,6.4323,2,4.5623,2,5.1623,2,5.9723,2,4.4323,2,5.9923,2
2 min,11.0323,2,2.3423,2,8.0023,2,4.4523,2,5.7223,2,5.0223,2,5.1423,2,5.1923,2,5.6423,2,7.7823,2
3 min,6.4823,2,2.0623,2,7.9523,2,4.1323,2,6.4223,2,5.5123,2,3.8223,2,5.2623,2,4.5823,2,7.7523,2
4 min,6.1723,2,2.5023,2,7.1323,2,4.9123,2,6.9223,2,3.9223,2,4.7923,2,5.7123,2,5.7823,2,7.6423,2
5 min,7.3723,2,1.9323,2,0.562300000000004,2,3.2323,2,5.8523,2,5.0323,2,5.0923,2,6.4123,2,4.8623,2,6.9623,2
6 min,5.1523,2,1.9723,2,6.8923,2,5.3023,2,2.8923,2,4.4923,2,5.5423,2,6.3123,2,5.8423,2,6.5823,2
7 min,5.8123,2,2.4123,2,8.5823,2,5.2823,2,4.0423,2,5.0523,2,4.1323,2,5.7123,2,4.6623,2,8.2823,2
8 min,6.2123,2,2.0423,2,8.5523,2,4.7623,2,4.6723,2,4.6323,2,4.5923,2,5.3523,2,4.4523,2,6.6123,2
9 min,6.7823,2,2.5223,2,7.4523,2,3.5023,2,6.8023,2,3.4723,2,5.2723,2,5.3023,2,4.4923,2,7.7623,2
10 min,5.0723,2,2.0323,2,5.8123,2,3.7723,2,6.3223,2,4.0523,2,3.5123,2,5.4723,2,3.6523,2,9.4823,2
11 min,5.2223,2,1.9623,2,6.9723,2,5.3123,2,5.1323,2,3.9923,2,5.1023,2,5.3523,2,7.0823,2,6.2123,2
12 min,8.9623,2,2.4023,2,6.4023,2,2.2323,2,6.3623,2,4.9723,2,4.3923,2,5.8023,2,3.8023,2,8.2023,2
13 min,4.1623,2,1.9623,2,6.8223,2,3.8223,2,4.5923,2,5.1323,2,4.7023,2,4.7523,2,5.4523,2,7.2923,2
14 min,4.8023,2,2.4623,2,6.2823,2,3.6623,2,6.3623,2,4.5723,2,4.2823,2,4.4023,2,4.5223,2,7.6623,2
15 min,4.9323,2,2.0323,2,8.0923,2,4.2923,2,4.2223,2,4.0523,2,4.2523,2,5.5723,2,5.4423,2,8.1923,2
16 min,6.8223,2,2.0423,2,6.9823,2,4.2923,2,5.0923,2,4.7423,2,3.8323,2,5.3723,2,5.0923,2,7.1023,2
17 min,5.2323,2,2.0823,2,4.0923,2,3.9823,2,6.2423,2,4.6823,2,4.9923,2,5.8823,2,4.5623,2,7.9623,2
