Time,oscIndex1_20190603_slice7,phaseNumber_20190603_slice7,oscIndex1_20190603_slice9,phaseNumber_20190603_slice9,oscIndex1_20190604_slice2,phaseNumber_20190604_slice2,oscIndex1_20190604_slice3,phaseNumber_20190604_slice3,oscIndex1_20190604_slice4,phaseNumber_20190604_slice4,oscIndex1_20190604_slice7,phaseNumber_20190604_slice7,oscIndex1_20190606_slice1,phaseNumber_20190606_slice1,oscIndex1_20190606_slice2,phaseNumber_20190606_slice2,oscIndex1_20190606_slice3,phaseNumber_20190606_slice3,oscIndex1_20190607_slice4,phaseNumber_20190607_slice4
-20 min,0.952149260530235,1,0.884912118302951,1,0.960820023330202,1,0.908707774601315,1,0.993975211337588,1,0.990991567635318,1,0.953394334661043,1,0.969153458191734,1,0.977148372220953,1,1,1
-19 min,0.964559729436636,1,0.895974560372374,1,0.978401261079301,1,0.927395154316136,1,0.975359454298741,1,0.986864791999053,1,0.822978008041025,1,0.97645879287166,1,0.973665327213175,1,0.970167594604565,1
-18 min,0.971404518788821,1,0.850061656419375,1,1,1,0.908208749101911,1,0.983669895877916,1,0.99399705267667,1,0.958762370617231,1,0.981689523714803,1,0.964631274796627,1,1,1
-17 min,0.937439358118059,1,0.934753301018182,1,0.995175266352245,1,0.948158029317941,1,0.902863082854418,1,1,1,0.869396001423353,1,0.982392499372627,1,0.968642035705323,1,0.974582112748429,1
-16 min,0.946991802421653,1,0.893701391062551,1,0.987762346995906,1,0.929119719844949,1,0.983019726314751,1,0.988332163019259,1,0.522945334718334,1,0.990358672561458,1,0.983138972499307,1,0.993558603403378,1
-15 min,0.961900909703686,1,0.945041087140793,1,0.998430143634566,1,0.855814521687994,1,0.991912928997698,1,0.998822827649635,1,0.750613504063355,1,0.986054955466145,1,0.990545377364617,1,0.985973387596598,1
-14 min,0.946758905582445,1,0.855466668274419,1,0.991535911831646,1,0.999130901618644,1,0.971802219388992,1,0.999792739501077,1,0.879119487638054,1,0.969321082960981,1,0.987836519265613,1,0.999487880578658,1
-13 min,0.965210054553806,1,0.935379005504533,1,0.986847655006331,1,0.924441947828801,1,0.981468443624375,1,0.99623604478544,1,0.914786169785825,1,0.977516237994413,1,0.966531987120756,1,0.998903985238201,1
-12 min,0.95101125454174,1,0.907197225037323,1,0.984651375087626,1,0.938503546208926,1,0.955558206491677,1,0.994034568762984,1,0.890437111235117,1,0.978137071178806,1,0.966016755177626,1,1,1
-11 min,0.966575717135352,1,0.94554900456203,1,0.994615926386966,1,0.83801716242491,1,0.959568139419873,1,0.988898062833084,1,0.817282828651529,1,0.97732755290353,1,0.973320621926535,1,1,1
-10 min,0.942377621973562,1,0.854357477572272,1,0.998240537202815,1,0.87054925546218,1,0.949680944521951,1,0.987598062625241,1,0.913253693392097,1,0.973163073767062,1,0.991011272238481,1,0.999130584187841,1
-9 min,0.942751321193339,1,0.964038822055959,1,0.99470562464958,1,0.915543412910217,1,0.971172028772833,1,1,1,0.936532132968491,1,0.970487681913264,1,0.969580853287166,1,1,1
