Time,oscPeriod1Ms_20190603_slice7,phaseNumber_20190603_slice7,oscPeriod1Ms_20190603_slice9,phaseNumber_20190603_slice9,oscPeriod1Ms_20190604_slice2,phaseNumber_20190604_slice2,oscPeriod1Ms_20190604_slice3,phaseNumber_20190604_slice3,oscPeriod1Ms_20190604_slice4,phaseNumber_20190604_slice4,oscPeriod1Ms_20190604_slice7,phaseNumber_20190604_slice7,oscPeriod1Ms_20190606_slice1,phaseNumber_20190606_slice1,oscPeriod1Ms_20190606_slice2,phaseNumber_20190606_slice2,oscPeriod1Ms_20190606_slice3,phaseNumber_20190606_slice3,oscPeriod1Ms_20190607_slice4,phaseNumber_20190607_slice4
-20 min,520,1,410,1,540,1,520,1,500,1,460,1,440,1,400,1,390,1,400,1
-19 min,500,1,400,1,550,1,530,1,490,1,460,1,430,1,400,1,420,1,440,1
-18 min,510,1,390,1,570,1,540,1,540,1,450,1,430,1,400,1,410,1,450,1
-17 min,490,1,430,1,570,1,510,1,560,1,460,1,420,1,400,1,380,1,450,1
-16 min,520,1,410,1,560,1,540,1,530,1,490,1,400,1,400,1,430,1,480,1
-15 min,520,1,430,1,570,1,580,1,520,1,480,1,420,1,400,1,390,1,470,1
-14 min,500,1,430,1,560,1,620,1,500,1,460,1,420,1,410,1,410,1,450,1
-13 min,500,1,450,1,610,1,540,1,510,1,460,1,430,1,410,1,400,1,450,1
-12 min,510,1,470,1,570,1,520,1,490,1,480,1,420,1,410,1,410,1,470,1
-11 min,510,1,430,1,550,1,740,1,520,1,470,1,420,1,400,1,400,1,420,1
-10 min,500,1,270,1,600,1,530,1,520,1,470,1,430,1,400,1,430,1,490,1
-9 min,500,1,390,1,570,1,550,1,530,1,470,1,420,1,400,1,400,1,520,1
-8 min,510,1,420,1,590,1,530,1,530,1,460,1,410,1,410,1,420,1,490,1
-7 min,500,1,360,1,590,1,540,1,510,1,470,1,400,1,400,1,400,1,440,1
-6 min,510,1,410,1,590,1,540,1,550,1,460,1,410,1,400,1,420,1,480,1
-5 min,510,1,600,1,580,1,550,1,530,1,470,1,420,1,410,1,420,1,420,1
-4 min,510,1,410,1,570,1,520,1,510,1,460,1,410,1,410,1,410,1,450,1
-3 min,510,1,440,1,580,1,570,1,520,1,470,1,410,1,410,1,420,1,480,1
-2 min,500,1,390,1,590,1,580,1,520,1,470,1,400,1,410,1,410,1,490,1
-1 min,510,1,430,1,560,1,520,1,520,1,470,1,410,1,400,1,400,1,460,1
0 min,500,2,410,2,590,2,510,2,500,2,480,2,410,2,400,2,430,2,450,2
1 min,520,2,390,2,600,2,540,2,520,2,490,2,400,2,410,2,420,2,460,2
2 min,510,2,390,2,560,2,520,2,530,2,470,2,410,2,390,2,410,2,470,2
3 min,510,2,540,2,600,2,520,2,520,2,470,2,410,2,420,2,400,2,480,2
4 min,490,2,480,2,580,2,530,2,500,2,460,2,420,2,410,2,430,2,440,2
5 min,500,2,440,2,0,2,650,2,510,2,480,2,420,2,420,2,430,2,470,2
6 min,500,2,420,2,570,2,530,2,540,2,470,2,400,2,420,2,430,2,460,2
7 min,500,2,410,2,580,2,540,2,480,2,470,2,410,2,410,2,430,2,460,2
8 min,500,2,410,2,590,2,510,2,490,2,480,2,400,2,430,2,410,2,450,2
9 min,500,2,450,2,580,2,480,2,520,2,450,2,400,2,420,2,400,2,460,2
10 min,490,2,440,2,590,2,500,2,500,2,470,2,820,2,450,2,450,2,450,2
11 min,500,2,460,2,590,2,520,2,490,2,470,2,390,2,420,2,440,2,450,2
12 min,490,2,450,2,570,2,480,2,500,2,470,2,400,2,430,2,410,2,470,2
13 min,510,2,420,2,590,2,480,2,470,2,470,2,410,2,420,2,420,2,480,2
14 min,490,2,430,2,570,2,510,2,500,2,480,2,400,2,420,2,430,2,460,2
15 min,510,2,420,2,600,2,500,2,480,2,480,2,410,2,420,2,420,2,470,2
16 min,490,2,430,2,570,2,560,2,490,2,470,2,400,2,430,2,450,2,470,2
17 min,500,2,440,2,610,2,550,2,490,2,490,2,400,2,440,2,440,2,450,2
18 min,520,2,430,2,590,2,520,2,500,2,470,2,380,2,430,2,420,2,460,2
